Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,a26,inc,Vm,AB,BMag,SBB,logKLum,logM26,l_logMHI,logMHI,VLG,Theta1,MD,Theta5,Thetaj,tahts actually cxrax,mass in kg,volume
ESO381-018,12,44,42.7,-,35,58,0,1.31,64,8,0,-13.2,23.7,7.39,6.96,7.41,7.41,367,-0.4,NGC5236,-0.2,-1.04,2.02133E+19,1.81408E+37,3.4594E+58
IC3718,12,44,46,+,12,21,5,4.98,74,32,0,-15.3,24.5,8.22,8.77,7.13,7.13,754,-1.2,NGC4382,-0.7,0.44,7.68414E+19,1.17127E+39,1.90053E+60
ESO381-020,12,46,0.4,-,33,50,17,4.59,90,34,0,-14.5,25.1,7.95,8.79,8.37,8.37,336,-0.3,NGC5236,-0.2,-0.79,7.08237E+19,1.22647E+39,1.48807E+60
AGC227970,12,46,1.4,+,4,22,52,1.72,90,16,0,-13.8,23.7,7.79,7.73,7.52,7.52,512,0.5,NGC4586,0.6,1.41,2.65396E+19,1.06821E+38,7.83018E+58
VCC2033,12,46,4.5,+,8,28,35,1.59,27,5,0,-14.8,22.6,8.32,6.75,7.01,7.01,1373,-0.6,NGC4472,0,1.16,2.45337E+19,1.11855E+37,6.18554E+58
VCC2037,12,46,15.3,+,10,12,12,3.35,78,8,0,-14.2,24.8,7.92,7.4,6.9,6.9,1038,-0.5,NGC4435,0,1.41,5.16905E+19,4.99639E+37,5.78523E+59
UGCA298,12,46,55.4,+,26,33,51,2.86,44,41,0,-15,23.6,8.43,8.74,7.29,7.29,817,-1.1,NGC4274,-0.5,-0.87,4.41298E+19,1.09309E+39,3.59985E+59
UGC07950,12,46,56.4,+,51,36,47,3.58,48,33,0,-15.2,23.9,8.36,8.65,8.05,8.05,599,-0.4,NGC5194,0,-2.03,5.52394E+19,8.88498E+38,7.0605E+59
DDO147,12,46,59.8,+,36,28,35,1.27,42,12,0,-12.4,24.5,7.19,7.35,7.47,7.47,351,-0.6,NGC4214,-0.3,-0.08,1.95961E+19,4.45304E+37,3.15208E+58
FGC1497,12,47,0.6,+,32,39,5,6.88,84,40,0.01,-15.1,25.4,8.4,9.1,8.26,8.26,521,-2.2,NGC4321,-1.6,,1.06158E+20,2.50413E+39,5.01131E+60
Dw1247-0824,12,47,25,-,8,24,29,4.8,56,49,0.05,-14.6,25.2,8.08,9.13,,,1036,1,NGC4594,1,2.08,7.4064E+19,2.68322E+39,1.70181E+60
HIPASS J1247-77,12,47,32.6,-,77,35,1,1.29,75,11,0,-12.9,24,7.1,7.23,7.19,7.19,154,-0.6,CIRCINUS,-0.3,-2.24,1.99047E+19,3.37798E+37,3.30336E+58
NGC4688,12,47,46.5,+,4,20,10,7.01,30,37,0,-16.6,23.9,8.5,9.05,8.52,8.52,855,2.1,KK164,2.1,0.12,1.08164E+20,2.23181E+39,5.30079E+60
KK164,12,47,59.6,+,4,26,0,2.04,55,20,0,-13.8,24.1,7.85,7.97,6.93,6.93,910,2.8,NGC4688,2.8,0.16,3.14772E+19,1.85634E+38,1.3064E+59
NGC4707,12,48,22.9,+,51,9,53,3.97,41,44,0.01,-15.7,23.6,8.25,8.95,8.05,8.05,558,-0.5,NGC4258,-0.1,0.06,6.12571E+19,1.77279E+39,9.62848E+59
DDO148,12,48,43.1,-,5,15,14,6.22,43,25,0,-16.2,24.1,8.83,8.65,7.82,7.82,1170,0.1,NGC4594,0.2,0.29,9.59746E+19,8.88498E+38,3.70303E+60
NGC4700,12,49,7.6,-,11,24,41,8.49,82,54,0.24,-17.1,23.8,8.86,9.46,8.43,8.43,1222,-0.7,NGC4594,-0.6,-1.59,1.31001E+20,5.73663E+39,9.41693E+60
MAPS1249+44,12,49,31,+,44,21,33,1.02,69,14,0,-12.4,24,7.2,7.35,7.06,7.06,572,0.2,NGC4258,0.5,1.72,1.57386E+19,4.45304E+37,1.633E+58
LV J1249+2155,12,49,36.9,+,21,55,5,0.89,41,9,0,-11.9,24.2,7.01,6.93,7.18,7.18,491,-0.9,NGC4631,-0.6,-0.48,1.37327E+19,1.693E+37,1.08482E+58
UGC07983,12,49,47,+,3,50,32,1.25,54,9,0,-12.5,24.3,7.27,7.03,7.5,7.5,565,-1.1,NGC4826,-0.8,-0.6,1.92875E+19,2.13136E+37,3.0055E+58
UGC07990,12,50,27.2,+,28,21,10,6.88,60,44,0.04,-15.4,25.1,8.53,9.19,8.4,8.4,495,-1.5,NGC4494,-0.9,,1.06158E+20,3.08075E+39,5.01131E+60
NGC4736,12,50,53.5,+,41,7,10,19.57,38,150,0.14,-19.7,23,10.56,10.71,8.28,8.28,352,-0.1,NGC4449,0.1,0.84,3.01965E+20,1.02013E+41,1.15334E+62
BTS157,12,51,13.3,+,47,4,15,1.41,39,4,0,-12.4,24.6,7.22,6.41,6.98,6.98,644,0,NGC5055,0.3,0.53,2.17563E+19,5.11277E+36,4.31364E+58
KK167,12,51,44.4,+,26,6,38,2.27,50,18,0,-13.5,24.6,7.64,7.91,7.68,7.68,1221,-0.3,NGC4559,0,1.2,3.50261E+19,1.6168E+38,1.79996E+59
IC3840,12,51,46.1,+,21,44,7,1.67,75,11,0,-12.9,24.5,7.41,7.4,7.28,7.28,510,-1.1,NGC4826,-0.7,-0.44,2.57681E+19,4.99639E+37,7.16697E+58
NGC4765,12,53,14.4,+,4,27,47,3.14,49,44,0.02,-15.6,23.2,8.49,8.86,7.96,7.96,598,-1.3,NGC4826,-0.9,-1.21,4.84502E+19,1.44098E+39,4.76404E+59
KKSG38,12,53,31.6,-,5,55,40,2.64,78,18,0,-13.2,25.2,7.55,7.99,7.36,7.36,953,-0.1,NGC4594,0.1,0.38,4.07352E+19,1.94382E+38,2.83138E+59
KKSG39,12,53,41.9,-,6,5,2,1.61,47,3,0,-10.8,26.6,6.57,6.35,7.08,7.08,1303,-1,NGC4594,-0.8,-0.35,2.48423E+19,4.45304E+36,6.42191E+58
DDO153,12,53,57.5,-,12,6,31,6.7,90,29,0,-15.4,25,8.42,8.83,8.64,8.64,731,0.7,NGC4594,0.8,2.07,1.03381E+20,1.3448E+39,4.62819E+60
DDO154,12,54,5.2,+,27,8,55,2.5,49,46,0.03,-14,24.3,7.59,8.79,8.28,8.28,354,0.3,NGC4826,0.4,1.33,3.8575E+19,1.22647E+39,2.4044E+59
UGC08030,12,54,29.4,+,26,18,18,5.4,66,24,0,-14.4,25.6,8,8.57,7.89,7.89,604,0.4,NGC4725,0.6,2.02,8.3322E+19,7.39021E+38,2.42308E+60
ESO443-009,12,54,53.6,-,28,20,27,1.29,47,11,0,-12.2,24.7,7.11,7.25,7.16,7.16,409,-0.5,NGC5236,-0.4,-1.16,1.99047E+19,3.53718E+37,3.30336E+58
KDG215,12,55,40.5,+,19,12,33,1.64,68,4,0,-12.3,25.1,7.16,6.4,7.38,7.38,362,0.5,NGC4826,0.5,1.24,2.53052E+19,4.99639E+36,6.78763E+58
AGC221126,12,56,18,+,34,39,25,3.98,35,34,0,-13.2,26.1,7.54,8.73,8.13,8.13,748,-0.4,NGC5055,-0.1,0.09,6.14114E+19,1.06821E+39,9.70143E+59
UGC08061,12,56,43.4,+,11,55,52,3.11,41,36,0,-14.7,24.1,8.12,8.67,7.9,7.9,474,0.2,NGC4762,0.6,1.78,4.79873E+19,9.30372E+38,4.62879E+59
NGC4826,12,56,44.2,+,21,41,5,17.92,63,155,0.43,-19.5,23.1,10.49,10.7,8.27,8.27,365,-0.9,NGC4736,-0.7,-0.89,2.76506E+20,9.96912E+40,8.85524E+61
CVnII,12,57,10,+,34,19,15,0.11,70,3,0,-4.1,27.5,4.59,4.98,< 4.10,4.1,-113,2,Milky Way,2,1.73,1.6973E+18,1.89958E+35,2.04816E+55
