Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,a26,inc,Vm,AB,BMag,SBB,logKLum,logM26,l_logMHI,logMHI,VLG,Theta1,MD,Theta5,Thetaj,tahts actually cxrax,mass in kg,volume
[KK2000] 59,13,47,57.7,-,53,21,4,3.94,83,31,0,-15.7,23.6,7.9,8.64,8.17,8.17,438,0.6,NGC4945,0.9,1.85,6.07942E+19,8.68274E+38,9.41185E+59
HIPASS J1348-37,13,48,33.9,-,37,58,3,0.82,41,23,0,-11.5,24.4,6.87,7.69,7.28,7.28,359,-0.2,NGC5236,-0.1,-0.37,1.26526E+19,9.74219E+37,8.48453E+57
ESO383-087,13,49,18.8,-,36,3,41,5.53,37,18,0,-16.8,23.2,9.05,8.32,7.82,7.82,108,0.4,NGC5128,0.6,1.87,8.53279E+19,4.15582E+38,2.60233E+60
DDO183,13,50,51.1,+,38,1,16,2.24,90,8,0,-13.2,24.8,7.54,7.18,7.33,7.33,254,-0.8,NGC4736,-0.4,-0.99,3.45632E+19,3.01062E+37,1.72954E+59
HIPASS J1351-47,13,51,22,-,47,0,0,1.05,62,17,0,-11.9,24.5,7.01,7.53,7.42,7.42,291,-0.9,NGC5236,-0.5,-0.53,1.62015E+19,6.73995E+37,1.78137E+58
KKH86,13,54,33.6,+,4,14,35,0.65,51,3,0,-10.3,25.1,6.51,5.9,5.92,5.92,209,-1.4,NGC5128,-0.9,-1.99,1.00295E+19,1.58E+36,4.22597E+57
HolmIV,13,54,45.1,+,53,54,17,8.29,74,35,0,-15.6,25.3,8.62,9.08,8.36,8.36,272,1.2,MESSIER101,1.3,1.55,1.27915E+20,2.39142E+39,8.76698E+60
UGC08833,13,54,48.7,+,35,50,15,1.12,30,14,0,-12.3,24.2,7.41,7.38,7.05,7.05,280,-0.9,NGC4736,-0.4,-0.98,1.72816E+19,4.77152E+37,2.16192E+58
ESO384-016,13,57,1.6,-,35,20,2,1.82,53,3,0,-13.5,24.1,7.83,6.32,6.69,6.69,350,0.4,NGC5236,0.5,1.65,2.80826E+19,4.15582E+36,9.27685E+58
BootesIII,13,57,12,+,26,48,0,0.77,64,12,0,-5.9,29.9,5.29,7.12,< 2.98,2.98,219,3.6,Milky Way,3.6,1.75,1.18811E+19,2.62214E+37,7.0252E+57
BootesII,13,58,8,+,12,50,54,0.08,51,4,0,-1.9,29,3.7,5.13,< 1.62,1.62,-156,3.8,Milky Way,3.8,1.75,1.2344E+18,2.68322E+35,7.87873E+54
BootesI,14,0,5,+,14,30,15,0.38,64,3,0,-5.5,28.7,5.15,5.53,< 2.39,2.39,69,3.2,Milky Way,3.2,1.75,5.8634E+18,6.73995E+35,8.44379E+56
NGC5398,14,1,22.2,-,33,3,52,13.26,60,49,0.07,-18,23.9,9.37,9.57,8.83,8.83,1017,-1.8,NGC5643,-1.3,-1.13,2.04602E+20,7.39021E+39,3.58771E+61
MESSIER101,14,3,12.8,+,54,21,2,61.41,22,171,0.05,-21,24.3,10.79,11.32,9.86,9.86,378,1.3,NGC5474,1.3,0.13,9.47556E+20,4.15582E+41,3.56372E+63
NGC5408,14,3,21.5,-,41,22,35,4.5,87,30,0,-16.7,22.9,8.57,8.68,8.48,8.48,281,-0.3,NGC5236,-0.1,-0.89,6.9435E+19,9.52043E+38,1.40225E+60
NGC5474,14,5,2.1,+,53,39,47,9.79,26,34,0,-17.8,23.5,9.21,9.11,9.01,9.01,424,3.4,PGC2448110,3.5,1.55,1.5106E+20,2.56246E+39,1.44389E+61
NGC5477,14,5,33.1,+,54,27,39,4.01,46,31,0,-15,24.3,8.26,8.66,8.6,8.6,451,2,MESSIER101,2,1.56,6.18743E+19,9.09194E+38,9.92246E+59
KK230,14,7,10.7,+,35,3,37,0.49,38,4,0,-9.3,25.5,6.18,5.98,6.35,6.35,127,-1.3,MESSIER081,-0.8,-0.8,7.5607E+18,1.89958E+36,1.8104E+57
dw1408+56,14,8,41,+,56,55,38,2.96,63,26,0,-14.1,24.6,7.87,8.37,7.84,7.84,2053,-2.6,M101-df5,-2.3,-2.12,4.56728E+19,4.66291E+38,3.99081E+59
M101dwB,14,8,43.1,+,55,9,57,2.44,41,45,0.01,-12.2,26.1,7.13,8.76,7.83,7.83,2056,-1.5,M101dwC,-1.4,-0.4,3.76492E+19,1.14461E+39,2.2354E+59
CIRCINUS,14,13,9.3,-,65,20,21,20.28,69,121,0.46,-20.7,22.2,10.6,10.54,9.3,9.3,189,-0.7,NGC5128,-0.4,,3.1292E+20,6.89694E+40,1.28348E+62
KKH87,14,15,9.4,+,57,5,15,2.81,90,14,0,-13.7,24.9,7.73,7.8,7.97,7.97,473,-0.8,NGC5194,-0.4,,4.33583E+19,1.25504E+38,3.41433E+59
DDO187,14,15,56.5,+,23,3,19,1.15,46,13,0,-12.5,24.1,7.06,7.35,7.1,7.1,180,-1.5,Milky Way,-0.8,-2.19,1.77445E+19,4.45304E+37,2.34035E+58
NGC5585,14,19,48.3,+,56,43,49,11.96,51,81,0.16,-18.3,23.5,9.21,9.96,9,9,457,,,,,1.84543E+20,1.81408E+40,2.63257E+61
DDO190,14,24,43.5,+,44,31,33,1.99,30,36,0,-14.2,23.6,7.93,8.48,7.52,7.52,263,-1.2,MESSIER081,-0.7,-1.13,3.07057E+19,6.00699E+38,1.21268E+59
PGC051659,14,28,3.7,-,46,18,6,2.13,90,19,0,-13.2,24.8,7.51,7.94,7.78,7.78,177,0.3,NGC5128,0.5,1.87,3.28659E+19,1.73243E+38,1.48705E+59
ESO222-010,14,35,3,-,49,25,18,0.49,81,19,0,-12.3,22.5,7.16,7.31,7.25,7.25,403,,,,,7.5607E+18,4.06122E+37,1.8104E+57
DDO194,14,35,24.6,+,57,15,24,3.5,71,40,0.01,-14.4,24.7,8.09,8.8,7.83,7.83,381,-0.1,NGC5585,0.1,-0.19,5.4005E+19,1.25504E+39,6.59767E+59
MRK0475,14,39,5.4,+,36,48,22,1.19,47,14,0,-13.5,23.2,7.64,7.44,6.48,6.48,677,-1.2,NGC5055,-0.8,-1.73,1.83617E+19,5.47844E+37,2.59315E+58
HIPASS J1441-62,14,41,42.7,-,62,46,2,1.58,57,26,0,-13.8,23.5,7.79,8.09,7.44,7.44,440,-0.6,CIRCINUS,-0.4,,2.43794E+19,2.44713E+38,6.06957E+58
ESO272-025,14,43,25.5,-,44,42,19,2.04,72,17,0,-13.9,24,7.61,7.86,6.74,6.74,429,,,,,3.14772E+19,1.44098E+38,1.3064E+59
KKR11,14,44,44.2,+,55,35,17,1.98,50,10,0,-13.2,24.6,7.52,7.39,7.79,7.79,753,-1,NGC5866,-0.5,-0.6,3.05514E+19,4.88266E+37,1.19449E+59
UGC09540,14,48,52,+,34,42,43,2.08,41,22,0,-13.2,24.7,7.52,8.08,7.99,7.99,895,-1.5,NGC5055,-1,-1.62,3.20944E+19,2.39142E+38,1.38477E+59
ESO273-014,14,58,30.3,-,47,41,55,14.39,44,118,0.17,-18.6,23.5,9.44,10.36,9.61,9.61,851,-2,NGC5643,-1.6,,2.22038E+20,4.55676E+40,4.58531E+61
ESO223-009,15,1,8.5,-,48,17,33,6.13,26,61,0.02,-16.3,23.9,9.17,9.42,8.79,8.79,389,-1.4,NGC5236,-0.9,-1.56,9.45859E+19,5.23187E+39,3.5446E+60
UGC09660,15,1,9.3,+,44,41,53,3.73,74,30,0,-15.9,23.3,8.68,8.58,8.23,8.23,745,-1.4,NGC5866,-0.8,-0.61,5.75539E+19,7.56235E+38,7.9857E+59
UMin,15,9,11.3,+,67,12,52,0.53,90,3,0,-7.1,27.8,5.8,5.59,< 1.59,1.59,-52,3.2,Milky Way,3.2,1.75,8.1779E+18,7.7385E+35,2.29094E+57
ESO274-001,15,14,13.5,-,46,48,45,12.71,90,74,0.71,-17.4,24.5,8.92,9.91,8.32,8.32,337,-0.5,NGC5128,-0.2,-0.29,1.96115E+20,1.6168E+40,3.15953E+61
KKR18,15,17,54.5,+,16,18,44,1.91,29,24,0,-13.8,23.9,7.78,8.11,7.49,7.49,764,-2.2,NGC5055,-1.6,,2.94713E+19,2.56246E+38,1.07223E+59
UGC09893,15,32,57.1,+,46,27,9,3.63,79,18,0,-15,24.1,8.25,8.16,7.93,7.93,818,-1.4,NGC5907,-0.9,-2.03,5.60109E+19,2.87512E+38,7.36048E+59
UGC09992,15,41,47.8,+,67,15,15,5.52,61,23,0,-15,25,8.26,8.54,8.4,8.4,638,-1.3,NGC5907,-1,,8.51736E+19,6.89694E+38,2.58823E+60
PGC057323,16,9,36.8,-,4,37,16,3.87,52,39,0,-15.7,23.5,8.64,8.84,8.29,8.29,835,-2.5,NGC4594,-2,,5.97141E+19,1.37612E+39,8.91906E+59
HIZOA J1616-55,16,17,23.5,-,55,43,57,1.41,57,25,0,-12.3,24.7,7.18,8.02,8.02,8.02,232,-1.8,NGC6744,-1.3,-0.32,2.17563E+19,2.08284E+38,4.31364E+58
ESO137-018,16,20,59.3,-,60,29,15,7.11,73,63,0.24,-17.9,22.7,9.54,9.51,8.59,8.59,418,-1.3,CIRCINUS,-1,,1.09707E+20,6.4366E+39,5.53089E+60
Hercules,16,31,3.6,+,12,47,24,0.6,90,3,0,-6.1,29.1,5.39,5.64,< 2.72,2.72,141,2.1,Milky Way,2.2,1.73,9.258E+18,8.68274E+35,3.32384E+57
KDG235,17,0,25.3,+,70,17,24,4.07,40,12,0,-13.5,25.9,7.64,7.85,7.87,7.87,687,-1.4,UGC10736,-1.1,-0.46,6.28001E+19,1.40817E+38,1.03746E+60
Draco,17,20,1.4,+,57,54,34,0.84,59,3,0,-8.7,27.2,6.45,5.92,< 2.12,2.12,-51,2.9,Milky Way,2.9,1.75,1.29612E+19,1.65446E+36,9.12062E+57
IC4662,17,47,6.3,-,64,38,25,2.18,65,41,0.02,-15.6,22.4,8.72,8.64,8.24,8.24,139,-1.2,NGC5128,-0.7,,3.36374E+19,8.68274E+38,1.59425E+59
NGC6503,17,49,27.6,+,70,8,41,12.71,73,91,0.43,-18.7,23.1,10,10.09,8.86,8.86,309,-1.3,NGC6946,-1,-1.39,1.96115E+20,2.44713E+40,3.15953E+61
IC4710,18,28,38,-,66,58,56,8.57,39,29,0,-17.2,23.8,9.24,8.93,8.6,8.6,580,-1,NGC6684,-0.7,-1.4,1.32235E+20,1.693E+39,9.68565E+60
NGC6684,18,48,57.9,-,65,10,24,10.45,55,119,0.23,-18.9,22.5,10.39,10.24,7.41,7.41,720,0.1,NGC6744,0.1,1.66,1.61244E+20,3.45666E+40,1.75604E+61
Sag dSph,18,55,3.1,-,30,28,42,3.08,90,6,0,-12.7,26.1,8.02,7.13,< 3.67,3.67,159,5.3,Milky Way,5.3,1.75,4.75244E+19,2.68322E+37,4.49613E+59
ESO104-022,18,55,41.2,-,64,48,39,4.1,55,17,0,-14.5,24.9,8.05,8.15,8.53,8.53,654,1.1,NGC6684,1.2,1.77,6.3263E+19,2.80968E+38,1.06057E+60
NGC6744,19,9,45.9,-,63,51,28,60.42,51,191,0.33,-21.3,24,10.91,11.41,10.31,10.31,706,0.1,[KK2000] 72,0.3,1.15,9.32281E+20,5.11277E+41,3.39413E+63
ESO104-044,19,11,23.1,-,64,13,9,5.12,58,36,0,-15.1,24.7,8.31,8.88,8.47,8.47,614,1.9,NGC6744,1.9,1.66,7.90016E+19,1.50889E+39,2.06536E+60
AM1909-615,19,13,53.5,-,61,54,49,1.78,26,65,0.03,-14,23.6,7.94,8.94,8.26,8.26,821,1.4,NGC6744,1.4,1.66,2.74654E+19,1.73243E+39,8.67853E+58
Sag dIr,19,29,59,-,17,40,41,1,50,9,0,-11.6,24.8,6.55,7,6.97,6.97,21,-0.5,Milky Way,-0.2,-0.85,1.543E+19,1.9891E+37,1.53881E+58
IC4870,19,37,37.6,-,65,48,43,4.67,66,37,0,-15.6,24,8.34,8.87,8.62,8.62,740,-0.2,NGC6744,0.1,1.14,7.20581E+19,1.47454E+39,1.56725E+60
NGC6822,19,44,57.7,-,14,48,11,3.58,33,64,0.03,-15.3,23.8,8.38,9.24,8.19,8.19,64,0.5,Milky Way,0.6,1.73,5.52394E+19,3.45666E+39,7.0605E+59
LV J1952+1428,19,52,11.8,+,14,28,24,0.93,24,17,0,-13.8,22.3,7.78,7.51,7.19,7.19,521,-2.4,NGC6946,-2,,1.43499E+19,6.4366E+37,1.23776E+58
KK246,20,3,57.4,-,31,40,54,2.32,87,22,0,-13.4,24.7,7.71,8.11,7.96,7.96,478,-2.2,NGC6744,-1.8,,3.57976E+19,2.56246E+38,1.92154E+59
IC4951,20,9,31.8,-,61,51,2,8.38,83,53,0.25,-16.3,24.7,8.86,9.44,8.69,8.69,701,,,,,1.29303E+20,5.47844E+39,9.05563E+60
UGC11583,20,30,15.3,+,60,26,25,5.72,90,42,0.04,-14.7,25.4,8.15,9.06,8.44,8.44,429,,,,,8.82596E+19,2.28379E+39,2.87988E+60
KK251,20,30,32,+,60,21,13,4.57,72,23,0,-14.2,25.4,7.94,8.44,8.28,8.28,433,3.4,NGC6946,3.5,1.77,7.05151E+19,5.47844E+38,1.46871E+60
KK252,20,31,32.6,+,60,48,48,3.05,9,45,0,-14.7,24.1,8.13,8.85,7.28,7.28,441,3,NGC6946,3,1.77,4.70615E+19,1.40817E+39,4.36602E+59
NGC6946,20,34,51.1,+,60,9,15,45.5,32,138,0.1,-21.4,23.2,10.99,11.01,10.11,10.11,355,0.4,UGC11583,0.8,0.64,7.02065E+20,2.03543E+41,1.44951E+63
KKR55,20,45,20.8,+,60,24,40,2.52,55,17,0,-15.4,22.9,8.4,7.91,7.87,7.87,337,2.3,NGC6946,2.3,1.77,3.88836E+19,1.6168E+38,2.46257E+59
DDO210,20,46,51.8,-,12,50,53,0.76,72,3,0,-11.2,24.6,6.78,5.79,6.46,6.46,11,-0.4,MESSIER031,0,1.35,1.17268E+19,1.22647E+36,6.75503E+57
Cepheus1,20,51,9.7,+,56,53,24,15.86,61,45,0.04,-18.1,24.2,9.61,9.57,9.27,9.27,342,0.9,NGC6946,1,1.76,2.4472E+20,7.39021E+39,6.13898E+61
IC5052,20,52,6.2,-,69,12,14,12.6,90,76,0.63,-17.9,23.9,9.27,9.93,8.81,8.81,440,-1.8,CIRCINUS,-1.3,,1.94418E+20,1.693E+40,3.07821E+61
KKR59,21,3,24.2,+,57,17,14,11.64,53,34,0,-17.6,24,9.39,9.19,,,307,1.7,KKR60,1.8,1.76,1.79605E+20,3.08075E+39,2.42686E+61
EZOA J2120+45,21,20,46.2,+,45,16,22,4.27,69,47,0.05,-16.8,22.7,9.22,9.03,8.17,8.17,576,-1,NGC6946,-0.9,,6.58861E+19,2.13136E+39,1.19804E+60
Segue 3,21,21,31,+,19,7,2,0.01,58,3,0,-0.6,24.9,3.19,3.85,,,,5,Milky Way,5,1.75,1.543E+17,1.40817E+34,1.53881E+52
NGC7090,21,36,28.6,-,54,33,26,27,89,91,0.69,-19.4,24.1,10.03,10.41,9.26,9.26,784,-1.6,NGC6744,-1.2,-0.23,4.1661E+20,5.11277E+40,3.02885E+62
IC5152,22,2,41.9,-,51,17,43,4.05,60,43,0.02,-15.6,23.8,8.71,8.94,8.01,8.01,73,-1.2,NGC0253,-0.6,0.24,6.24915E+19,1.73243E+39,1.02224E+60
6dF J2218489-46130,2,21,848,7,-4,61,30,1.5,7,,0,-14,23,7.8,7.1,7.1,7.1,97,0,Dw2217-4633,0,-0.7,2.3145E+19,2.50413E+37,5.1935E+58
IC5201,22,20,57.4,-,46,2,3,26.71,64,90,0.31,-19.2,24.2,10.19,10.4,9.68,9.68,892,,,,,4.12135E+20,4.99639E+40,2.9323E+62
ESO289-020,22,21,11.5,-,45,40,34,4.49,80,33,0,-14.3,25.2,8.09,8.76,7.8,7.8,897,-0.4,6dF J2218489-461303,-0.1,-0.81,6.92807E+19,1.14461E+39,1.39292E+60
ESO238-005,22,22,30.1,-,48,24,18,7.18,57,43,0.02,-14.9,25.7,8.21,9.19,8.35,8.35,671,-0.8,IC5201,-0.7,0.76,1.10787E+20,3.08075E+39,5.69587E+60
AM2220-460,22,23,43,-,45,52,56,2.3,27,45,0.01,-13.4,24.7,7.62,8.74,7.54,7.54,856,2.4,IC5201,2.4,0.77,3.5489E+19,1.09309E+39,1.87228E+59
Pegasus III,22,24,22.6,+,5,25,12,0.25,65,3,0,-3.4,29.9,4.31,5.34,,,8,1.7,Milky Way,1.7,1.75,3.8575E+18,4.35168E+35,2.4044E+56
And XXVIII,22,32,41.2,+,31,12,58,0.34,56,3,0,-7.7,26.3,6.04,5.56,,,-32,1.1,MESSIER031,1.2,1.75,5.2462E+18,7.22199E+35,6.04816E+56
Aquarius 2,22,33,55.5,-,9,19,39,0.33,64,3,0,-3.7,30.2,4.43,5.48,,,96,2.5,Milky Way,2.6,1.75,5.0919E+18,6.00699E+35,5.53004E+56
DDO215,22,39,8.8,-,4,45,37,4.37,90,24,0,-14.9,24.6,8.21,8.45,8.18,8.18,1017,-2.3,NGC0253,-2,,6.74291E+19,5.60605E+38,1.28419E+60
Tucana,22,41,49,-,64,25,12,0.77,90,14,0,-9.3,26.5,6.66,7.22,< 5.49,5.49,73,-0.3,Milky Way,-0.1,1.35,1.18811E+19,3.30108E+37,7.0252E+57
Tucana 2,22,51,55.1,-,58,34,8,0.33,70,3,0,-3.2,30.7,4.22,5.43,< 2.83,2.83,-222,3.4,Milky Way,3.6,1.75,5.0919E+18,5.35373E+35,5.53004E+56
Grus 1,22,56,42.4,-,50,9,48,0.12,73,3,0,-2.7,29,4.04,4.98,< 3.48,3.48,-190,2.4,Milky Way,2.5,1.75,1.8516E+18,1.89958E+35,2.65907E+55
Lac I,22,58,16.3,+,41,17,28,2.15,77,3,0,-11,27,7.34,6.22,,,107,1.5,MESSIER031,1.6,1.75,3.31745E+19,3.30108E+36,1.52933E+59
PiscesII,22,58,31,+,5,57,9,0.1,59,3,0,-4.4,27,4.7,5,,,-2,1.8,Milky Way,1.9,1.75,1.543E+18,1.9891E+35,1.53881E+55
AGC322463,22,59,35.3,+,16,46,11,0.75,64,3,0,-12.8,22.9,7.35,5.83,6.95,6.95,623,,,,,1.15725E+19,1.3448E+36,6.49188E+57
NGC7462,23,2,47.2,-,40,50,6,15.2,90,80,0.61,-18.2,24.1,9.48,10.06,8.81,8.81,1056,-1.8,IC5201,-1.4,,2.34536E+20,2.28379E+40,5.40402E+61
NGC7640,23,22,6.6,+,40,50,44,26.67,90,107,0.8,-19.3,24.1,9.77,10.55,9.56,9.56,668,0.8,UGC12588,0.9,0.23,4.11518E+20,7.05759E+40,2.91914E+62
UGC12588,23,24,42.4,+,41,20,53,5.19,35,68,0.05,-16.2,23.7,8.83,9.44,8.22,8.22,723,1.8,NGC7640,1.8,0.66,8.00817E+19,5.47844E+39,2.15124E+60
UGCA438,23,26,27.5,-,32,23,26,1.39,41,19,0,-12.9,24.1,7.59,7.75,7.25,7.25,99,-0.5,NGC0055,-0.2,0.53,2.14477E+19,1.11855E+38,4.13267E+58
Cas dSph,23,26,31.8,+,50,40,32,0.92,36,14,0,-11.8,24.4,7.66,7.29,< 5.63,5.63,-5,1.7,MESSIER031,1.7,1.75,1.41956E+19,3.87844E+37,1.19826E+58
ESO347-017,23,26,56.1,-,37,20,49,4.54,90,30,0,-15,24.6,8.25,8.68,8.23,8.23,701,,,,,7.00522E+19,9.52043E+38,1.43997E+60
Pegasus,23,28,34.1,+,14,44,48,1.6,68,3,0,-12,25.3,7.35,6.13,6.74,6.74,60,0.7,MESSIER031,0.7,1.75,2.4688E+19,2.68322E+36,6.30299E+58
DDO217,23,29,58.7,+,40,59,25,15.45,52,64,0.11,-17.7,24.6,9.42,9.87,8.95,8.95,720,,,,,2.38394E+20,1.47454E+40,5.67508E+61
IC5332,23,34,27.5,-,36,6,6,22.01,30,89,0.05,-18.9,24.1,9.74,10.3,9.31,9.31,716,-1.8,NGC7713,-1.4,-2.63,3.39614E+20,3.96878E+40,1.64077E+62
LV J2335-3713,23,35,4.1,-,37,13,14,1.26,65,9,0,-12.8,24,7.38,7.05,7.19,7.19,623,0.3,NGC7713,0.4,0.2,1.94418E+19,2.23181E+37,3.07821E+58
NGC7713,23,36,15,-,37,56,20,15.03,68,86,0.34,-18.4,23.8,9.43,10.11,8.74,8.74,696,-1.3,ESO347-017,-0.9,-1.02,2.31913E+20,2.56246E+40,5.22472E+61
UGC12713,23,38,14.5,+,30,42,33,6.49,63,46,0.06,-16,24.4,8.9,9.21,8.42,8.42,574,-1.6,NGC7331,-1.4,,1.00141E+20,3.22594E+39,4.2065E+60
PGC680341,23,41,47.5,-,33,8,41,0.77,68,21,0,-12.2,23.5,7.15,7.61,6.86,6.86,486,-1.3,NGC0253,-1.1,,1.18811E+19,8.1032E+37,7.0252E+57
UGCA442,23,43,46,-,31,57,33,7.52,90,41,0.04,-14.7,26,8.03,9.17,8.22,8.22,300,-0.3,NGC0253,-0.2,0.45,1.16034E+20,2.94209E+39,6.54395E+60
KKH98,23,45,34,+,38,43,4,0.86,67,3,0,-10.9,25.1,6.63,5.87,6.49,6.49,156,-1,MESSIER031,-0.7,0,1.32698E+19,1.47454E+36,9.78772E+57
ESO348-009,23,49,23.4,-,37,46,25,7.45,90,37,0,-15.6,25.1,8.47,9.07,8.64,8.64,647,-2.4,NGC7424,-1.8,,1.14954E+20,2.33699E+39,6.3629E+60
Peg dSph,23,51,47.3,+,24,34,53,1,73,3,0,-10.7,25.7,7.22,5.9,< 4.21,4.21,-84,1.4,MESSIER031,1.5,1.75,1.543E+19,1.58E+36,1.53881E+58
ESO149-003,23,52,2.8,-,52,34,39,5.08,90,15,0,-14.2,25.6,7.95,8.11,7.9,7.9,498,-1.9,NGC0253,-1.5,,7.83844E+19,2.56246E+38,2.01733E+60
And XXI,23,54,47.7,+,42,28,15,2.27,66,3,0,-8.5,29.6,6.34,6.3,,,-73,2.2,MESSIER031,2.2,1.75,3.50261E+19,3.96878E+36,1.79996E+59
Tucana III,23,56,36,-,59,36,0,0.09,69,3,0,-1.7,29.3,3.65,4.86,,,-213,4.5,Milky Way,4.5,1.75,1.3887E+18,1.44098E+35,1.1218E+55
NGC7793,23,57,49.4,-,32,35,24,14.95,48,101,0.18,-18.3,23.9,9.7,10.25,8.7,8.7,250,0.2,NGC0253,0.3,1.73,2.30679E+20,3.53718E+40,5.14174E+61
And XXIX,23,58,55.6,+,30,45,20,0.59,60,3,0,-7.5,27.7,5.96,5.76,,,76,2,MESSIER031,2,1.75,9.1037E+18,1.14461E+36,3.1604E+57
