pl_name,pl_radius (Earth radius),pl_mass (Earth mass)
WASP-32 b,13.339,1144.18800
K2-29 b,13.339,232.01590
HAT-P-25 b,13.339,180.20961
HAT-P-25 b,13.339,180.20200
HAT-P-2 b,13.339,2777.83420
HAT-P-16 b,13.339,1331.38987
CoRoT-4 b,13.339,223.43449
CoRoT-19 b,13.339,346.43470
WASP-151 b,13.305,100.43378
TrES-2 b,13.305,382.03166
TOI-4145 A b,13.305,136.66622
CoRoT-6 b,13.283,940.77680
XO-1 b,13.271,286.04700
WASP-181 b,13.271,95.03117
TOI-4463 A b,13.260,252.35576
HAT-P-55 b,13.249,184.34140
HAT-P-55 b,13.249,184.97706
CoRoT-5 b,13.249,149.38010
WASP-71 b,13.227,441.78370
WASP-41 b,13.227,298.76020
WASP-32 b,13.227,1144.14000
Qatar-1 b,13.227,422.71390
Qatar-1 b,13.227,419.85343
OGLE-TR-132 b,13.227,362.32620
KELT-6 b,13.227,140.48086
HATS-43 b,13.227,82.95363
CoRoT-23 b,13.227,972.55980
WASP-41 b,13.204,310.51991
HAT-P-37 b,13.204,381.39600
HAT-P-37 b,13.204,371.52800
WASP-5 b,13.171,506.93885
WASP-5 b,13.171,505.34970
HATS-30 b,13.171,224.38798
WASP-46 b,13.159,607.05530
WASP-46 b,13.159,603.87700
TOI-2977 b,13.159,533.95172
HATS-9 b,13.141,259.34928
TOI-3819 b,13.137,352.78953
WASP-5 b,13.126,520.28771
TOI-905 b,13.126,211.99261
TOI-677 b,13.115,392.83788
HR 8799 e,13.115,3178.30000
HAT-P-29 b,13.115,279.69040
CoRoT-16 b,13.115,168.13207
Kepler-40 b,13.110,699.20000
CoRoT-16 b,13.110,170.03200
TrES-2 b,13.103,380.74400
Kepler-6 b,13.103,201.18639
Kepler-6 b,13.103,205.63601
Kepler-30 c,13.100,527.70000
HATS-2 b,13.092,427.46300
HATS-2 b,13.092,486.27990
WASP-5 b,13.081,498.33600
TOI-3688 A b,13.081,311.47184
WASP-50 b,13.070,466.82870
CoRoT-6 b,13.070,937.59850
CoRoT-6 b,13.068,940.74000
WASP-18 b,13.059,3314.83000
WASP-18 b,13.058,3314.96690
HATS-77 b,13.058,436.69623
WASP-70 A b,13.047,189.74451
WASP-70 A b,13.047,187.51200
WASP-5 b,13.047,497.40395
TOI-4087 b,13.047,232.01474
Qatar-1 b,13.047,346.42000
WASP-18 b,13.036,3299.07540
TrES-2 b,13.025,457.67520
WASP-73 b,13.002,597.50000
WASP-73 b,13.002,597.20257
WASP-45 b,13.002,320.04100
WASP-45 b,13.002,318.78349
WASP-37 b,13.002,546.66760
WASP-37 b,13.002,572.07000
Kepler-43 b,13.002,997.98620
CoRoT-4 b,13.002,232.33373
CoRoT-20 b,13.002,1608.21980
Kepler-43 b,13.000,994.77000
HR 8799 d,13.000,3000.00000
HR 8799 c,13.000,3000.00000
HR 8799 b,13.000,2000.00000
Wendelstein-2 b,12.993,232.33373
WASP-22 b,12.980,181.16310
WASP-22 b,12.980,186.87600
WASP-18 b,12.980,3270.47070
TOI-3331 A b,12.980,721.47048
HAT-P-2 b,12.969,2765.12100
HAT-P-2 b,12.969,2888.95000
WASP-50 b,12.924,466.55500
WASP-50 b,12.924,464.03180
HATS-60 b,12.924,210.40346
HD 189733 b,12.902,365.50450
WASP-47 b,12.900,383.00000
XO-5 b,12.890,365.50450
WASP-67 b,12.890,136.66690
WASP-47 b,12.890,362.31100
WASP-21 b,12.890,92.17070
WASP-190 b,12.890,317.83000
TOI-1899 b,12.890,209.76780
Qatar-2 b,12.890,826.35800
OGLE-TR-132 b,12.890,320.99000
Kepler-422 b,12.890,136.66000
Kepler-422 b,12.890,155.73670
HAT-P-36 b,12.890,486.27990
HAT-P-22 b,12.890,785.04010
HAT-P-14 b,12.890,731.96249
HAT-P-14 b,12.890,709.36700
CoRoT-18 b,12.846,1048.83900
TOI-2842 b,12.845,117.59651
Kepler-432 b,12.834,182.75225
Kepler-432 b,12.834,1719.46030
WASP-98 b,12.823,293.03926
Qatar-2 b,12.823,790.41000
WASP-161 b,12.812,791.39670
Qatar-1 b,12.812,411.27202
TOI-3362 b,12.801,1598.35906
Qatar-1 b,12.801,410.95419
NGTS-13 b,12.801,1538.29720
HAT-P-14 b,12.801,709.39656
XO-5 b,12.780,378.20000
XO-1 b,12.778,263.79890
WASP-97 b,12.778,432.24880
WASP-5 b,12.778,494.22565
WASP-45 b,12.778,330.54320
WASP-44 b,12.778,282.53900
WASP-44 b,12.778,279.05474
TOI-1820 b,12.778,731.00534
OGLE-TR-10 b,12.778,200.23290
Kepler-643 b,12.778,321.00830
HD 189733 b,12.778,362.32620
WASP-47 b,12.770,341.00000
HATS-57 b,12.767,1000.21101
HD 189733 b,12.756,356.92309
HD 189733 b,12.756,363.58200
WASP-104 b,12.745,404.26300
WASP-104 b,12.745,403.00844
Qatar-1 b,12.733,405.23325
NGTS-5 b,12.733,72.78307
Kepler-14 b,12.733,2669.66000
Qatar-4 b,12.722,1938.76300
HAT-P-25 b,12.722,180.84527
WASP-47 b,12.710,370.00000
HAT-P-19 b,12.689,92.80200
HAT-P-19 b,12.689,90.26372
WASP-97 b,12.670,419.52000
Kepler-434 b,12.670,908.96000
WASP-97 b,12.666,420.48909
WASP-8 b,12.666,807.28820
WASP-151 b,12.666,98.52730
TrES-1 b,12.666,266.97720
SWEEPS-11 b,12.666,3082.82000
OGLE-TR-182 b,12.666,320.99500
Kepler-434 b,12.666,947.13340
HD 189733 b,12.666,359.14790
HATS-50 b,12.666,123.95370
WASP-164 b,12.644,676.97790
WASP-47 b,12.640,363.60000
WASP-47 b,12.630,363.10000
Kepler-14 b,12.621,2440.93440
HATS-59 b,12.621,256.17098
TOI-3693 b,12.599,324.18498
HAT-P-59 b,12.588,489.45575
WASP-42 b,12.576,167.49641
WASP-22 b,12.554,177.98480
Kepler-432 b,12.554,1547.77000
Kepler-43 b,12.550,962.98000
HD 189733 b,12.543,370.58978
HAT-P-63 b,12.543,195.14664
TOI-4562 b,12.530,732.00000
WASP-2 b,12.520,290.48400
TOI-2025 b,12.520,1398.44499
TIC 237913194 b,12.520,617.22586
HATS-47 b,12.520,117.27927
WASP-49 b,12.498,120.13500
WASP-49 b,12.498,126.81417
WASP-147 b,12.498,87.40325
Qatar-2 b,12.498,783.76878
Kepler-43 b,12.498,982.09470
K2-115 b,12.498,266.97720
WASP-65 b,12.464,489.45820
WASP-65 b,12.464,492.62000
OGLE-TR-113 b,12.453,394.10920
WASP-69 b,12.442,92.17070
WASP-49 b,12.442,117.59710
WASP-186 b,12.442,1341.24260
WASP-11 b,12.442,251.08570
TOI-4791 b,12.442,734.18362
KELT-1 b,12.442,8654.15000
HR 2562 b,12.442,9534.90000
HAT-P-21 b,12.442,1547.83210
EPIC 248847494 b,12.442,4131.79000
COCONUTS-2 b,12.442,2002.31896
XO-5 b,12.431,336.56800
XO-5 b,12.431,332.45018
Kepler-1514 b,12.420,1678.14240
Qatar-5 b,12.408,1373.02560
HAT-P-29 b,12.408,247.26100
HAT-P-29 b,12.408,214.85308
WASP-18 b,12.397,3241.86600
HATS-15 b,12.386,689.69110
Kepler-117 c,12.341,584.78000
WASP-99 b,12.330,889.92400
WASP-99 b,12.330,883.53000
WASP-98 b,12.330,269.51984
WASP-98 b,12.330,263.79000
WASP-44 b,12.330,276.51210
WASP-41 b,12.330,270.15550
WASP-32 b,12.330,1109.22670
TYC 8998-760-1 c,12.330,1906.98000
NGTS-15 b,12.330,238.68913
HD 17156 b,12.330,1115.58330
TrES-1 b,12.319,241.86863
WASP-38 b,12.300,858.10000
WASP-10 b,12.300,1017.00000
Kepler-30 c,12.300,640.00000
HD 189733 b,12.300,349.60000
HAT-P-2 b,12.300,2828.60000
WASP-170 b,12.285,508.52800
TOI-4127 b,12.285,731.00534
Qatar-3 b,12.285,1369.84730
TOI-3976 A b,12.274,55.61997
K2-140 b,12.274,323.86877
HD 17156 b,12.274,1014.15300
HATS-58 A b,12.274,327.36490
WASP-38 b,12.263,855.24500
OGLE-TR-113 b,12.251,400.44900
OGLE-TR-113 b,12.251,432.24880
WASP-56 b,12.240,190.38017
WASP-56 b,12.240,181.47300
Kepler-39 b,12.240,5689.15700
WASP-67 b,12.229,129.03400
TOI-559 b,12.229,1910.14873
TOI-3364 b,12.229,530.77344
Kepler-44 b,12.220,317.82000
Kepler-426 b,12.220,108.06000
CoRoT-14 b,12.220,2415.40000
WASP-5 b,12.218,502.15000
WASP-38 b,12.218,861.31930
WASP-38 b,12.218,841.61384
WASP-160 B b,12.218,88.35674
WASP-138 b,12.218,387.75260
TOI-1278 b,12.218,5879.82553
OGLE-TR-113 b,12.218,343.25640
OGLE-TR-113 b,12.218,419.53560
NGTS-8 b,12.218,295.58190
Kepler-44 b,12.218,311.79123
Kepler-426 b,12.218,107.10871
HAT-P-31 b,12.218,721.47410
HAT-P-23 b,12.218,425.89220
CoRoT-14 b,12.218,2358.29860
XO-5 b,12.207,344.52772
K2-132 b,12.207,157.32585
OGLE-TR-113 b,12.195,390.93090
WASP-5 b,12.184,502.15000
HD 17156 b,12.184,1028.18005
TOI-558 b,12.173,1147.36055
TOI-169 b,12.173,251.40353
WASP-106 b,12.162,606.73747
WASP-106 b,12.162,611.79700
WASP-2 b,12.117,295.89973
TrES-1 b,12.110,238.36000
Kepler-428 b,12.110,403.63000
CoRoT-25 b,12.110,85.81000
WASP-42 b,12.106,158.90800
WASP-10 b,12.106,1001.12000
TOI-2589 b,12.106,1112.39942
OGLE-TR-113 b,12.106,429.07050
Kepler-428 b,12.106,406.82240
HAT-P-22 b,12.106,682.69884
HAT-P-22 b,12.106,682.35200
HAT-P-22 b,12.106,690.32676
CoRoT-25 b,12.106,93.12419
HATS-76 b,12.094,835.57088
WASP-2 b,12.072,275.24078
TOI-2587 A b,12.072,69.28659
OGLE-TR-111 b,12.072,171.62820
WASP-53 b,12.038,677.61356
HAT-P-62 b,12.027,241.86742
HAT-P-68 b,12.016,230.10892
HAT-P-15 b,12.016,619.45067
HAT-P-15 b,12.016,618.47100
WASP-2 b,12.005,293.99275
WASP-2 b,12.005,290.80200
TOI-3757 b,12.000,85.30000
WASP-7 b,11.994,397.28750
WASP-25 b,11.994,139.84520
WASP-21 b,11.994,94.39551
WASP-158 b,11.994,886.74570
WASP-150 b,11.994,2688.84180
TOI-892 b,11.994,301.93850
TOI-519 b,11.994,4449.62000
NGTS-9 b,11.994,921.70700
NGTS-20 b,11.994,947.12865
Kepler-1658 b,11.994,1868.84040
K2-34 b,11.994,352.79130
HD 80606 b,11.994,1392.09540
HAT-P-31 b,11.994,682.38101
WASP-21 b,11.990,95.34500
HAT-P-31 b,11.990,689.98000
TOI-2145 b,11.982,1671.77742
K2-30 b,11.982,187.20187
WASP-10 b,11.960,1004.34280
WASP-10 b,11.960,1020.23430
TrES-1 b,11.960,238.99800
TrES-1 b,11.960,221.52751
OGLE-TR-111 b,11.960,165.27160
HATS-54 b,11.960,241.55080
HATS-44 b,11.960,177.98480
Kepler-1704 b,11.949,1322.16617
CoRoT-9 b,11.949,266.97720
CoRoT-9 b,11.949,268.88418
WASP-157 b,11.938,182.43442
HD 17156 b,11.938,1036.76146
HATS-9 b,11.938,266.02371
HATS-9 b,11.938,261.57409
HAT-P-29 b,11.926,243.77561
WASP-42 b,11.915,159.23283
WASP-2 b,11.915,279.69040
Qatar-6 b,11.904,212.31044
TOI-2025 b,11.893,1144.18227
WASP-117 b,11.882,95.34900
TOI-628 b,11.882,2011.86390
TOI-5153 b,11.882,1036.12061
TOI-1478 b,11.882,270.47333
K2-31 b,11.882,563.83042
HAT-P-22 b,11.882,696.68336
HAT-P-15 b,11.882,616.59020
Kepler-1647 b,11.874,483.00000
K2-232 b,11.859,123.00021
WASP-69 b,11.848,82.63580
WASP-69 b,11.848,79.45750
HATS-62 b,11.825,56.89157
Kepler-51 d,11.800,6.20000
OGLE-TR-111 b,11.781,247.90740
OGLE-TR-111 b,11.781,174.79900
EPIC 246851721 b,11.781,953.49000
HN Peg b,11.777,6991.57000
Kepler-75 b,11.770,3209.90000
CoRoT-9 b,11.770,266.97000
CoRoT-23 b,11.770,889.90000
WASP-57 b,11.769,204.36469
WASP-57 b,11.769,204.68252
Kepler-75 b,11.769,3210.08300
HAT-P-17 b,11.769,184.34140
CoRoT-23 b,11.769,982.09470
NGTS-12 b,11.747,66.10864
WASP-2 b,11.691,269.20201
WASP-2 b,11.691,269.20201
TOI-4603 b,11.680,4096.80817
WASP-89 b,11.657,1875.19700
WASP-89 b,11.657,1843.41400
WASP-83 b,11.657,95.34900
WASP-83 b,11.657,96.93815
TOI-1842 b,11.657,68.01528
Kepler-41 b,11.657,177.98480
HATS-14 b,11.657,340.07810
K2-30 b,11.646,184.02357
HATS-14 b,11.646,340.39593
HATS-14 b,11.646,339.76027
WASP-8 b,11.635,677.61356
WASP-8 b,11.635,713.18000
HAT-P-27 b,11.635,209.75900
CoRoT-9 b,11.624,262.52758
CoRoT-3 b,11.624,6979.54680
WASP-43 b,11.613,651.55150
TOI-5205 b,11.600,343.00000
Kepler-289 c,11.590,132.00000
HATS-74 A b,11.568,464.02947
Wendelstein-1 b,11.561,188.15536
Kepler-75 b,11.550,3146.40000
WASP-91 b,11.545,425.89220
WASP-6 b,11.545,117.59710
TOI-519 b,11.545,147.15455
Kepler-289 c,11.545,133.48860
KPS-1 b,11.545,346.43470
HD 1397 b,11.500,131.89945
HAT-P-20 b,11.489,2294.73260
HATS-71 b,11.478,117.59710
HAT-P-21 b,11.478,1261.78510
HAT-P-21 b,11.478,1291.28900
NGTS-25 b,11.467,203.09235
HD 1397 b,11.467,116.64361
TOI-1259 A b,11.456,140.16233
WASP-117 b,11.444,87.75286
WASP-117 b,11.444,87.55850
WASP-99 b,11.433,772.32690
WASP-106 b,11.433,514.88460
TOI-564 b,11.433,464.98529
HATS-4 b,11.433,420.47100
HATS-4 b,11.433,416.03947
HAT-P-27 b,11.433,195.78328
CoRoT-17 b,11.433,765.97030
HD 17156 b,11.430,1023.37000
HAT-P-27 b,11.430,197.05000
CoRoT-17 b,11.430,772.29000
XO-2 N b,11.422,189.73700
XO-2 N b,11.422,189.10885
CoRoT-14 b,11.411,2437.75610
TOI-3235 b,11.400,211.35589
TOI-2184 b,11.400,206.58846
HATS-54 b,11.377,239.32479
OGLE-TR-111 b,11.332,174.80650
TOI-3714 b,11.321,222.47988
TOI-2202 b,11.321,310.83618
TOI-2180 b,11.321,875.61726
KOI-351 h,11.321,381.39600
HAT-P-17 b,11.321,169.71000
HAT-P-17 b,11.321,170.67471
CoRoT-3 b,11.321,6814.27520
CoRoT-3 b,11.320,6883.91000
TOI-5542 b,11.310,419.53350
Qatar-9 b,11.310,378.21770
HAT-P-52 b,11.310,259.98494
HAT-P-52 b,11.310,259.66711
CoRoT-30 b,11.310,921.70700
WASP-16 b,11.300,272.00000
TIC 172900988 b,11.300,837.00000
WASP-16 b,11.299,288.58964
TOI-201 b,11.299,133.48860
TOI-216.01,11.290,200.00000
CoRoT-27 b,11.287,3273.64900
CoRoT-27 b,11.287,3302.11000
CoRoT-17 b,11.287,781.86180
WASP-43 b,11.276,635.02434
K2-290 c,11.276,246.00042
TIC 172900988 b,11.270,981.30000
KOI-94 d,11.270,106.00000
WASP-11 b,11.265,154.77700
OGLE-TR-111 b,11.265,168.44990
TIC 172900988 b,11.250,942.00000
HD 80606 b,11.243,1308.18828
HD 80606 b,11.243,1307.55262
HAT-P-2 b,11.243,2771.47760
TIC 172900988 b,11.240,823.90000
Kepler-30 c,11.230,1603.80000
WASP-34 b,11.209,177.98480
WASP-162 b,11.209,1652.71600
TOI-4406 b,11.209,95.34852
TOI-2338 b,11.209,1900.61387
TIC 279401253 b,11.209,1951.46642
OGLE-TR-111 b,11.209,168.44990
K2-29 b,11.209,194.82979
K2-232 b,11.209,126.49634
HD 114082 b,11.209,2542.62726
CoRoT-20 b,11.209,1315.81620
WASP-8 b,11.200,699.20000
TIC 172900988 b,11.200,869.70000
WASP-80 b,11.198,170.99254
Kepler-45 b,11.198,158.91500
HATS-6 b,11.187,101.38777
XO-2 N b,11.164,179.56600
TOI-2207 b,11.153,203.41018
HAT-P-18 b,11.153,62.61000
HAT-P-18 b,11.153,63.56600
TIC 172900988 b,11.150,845.70000
TOI-2497 b,11.142,1531.93292
TOI-1811 b,11.142,308.92921
CoRoT-3 b,11.135,6747.53090
XO-2 N b,11.131,179.89178
XO-2 N b,11.119,176.39565
WASP-45 b,11.119,318.46566
WASP-11 b,11.097,169.08556
WASP-11 b,11.097,156.37236
TOI-481 b,11.097,486.27990
KOI-3680 b,11.097,613.41190
HATS-3 b,11.097,174.80650
TOI-1670 c,11.063,200.23190
WASP-80 b,11.052,178.62046
XO-2 N b,11.030,188.47319
XO-2 N b,11.018,179.89178
HAT-P-2 b,11.007,2873.18320
WASP-44 b,10.985,275.55861
WASP-171 b,10.985,344.52772
HD 80606 b,10.980,1252.20000
Kepler-425 b,10.962,79.45000
Kepler-425 b,10.962,71.82958
WASP-84 b,10.940,218.34921
TOI-2567 b,10.929,63.88351
OGLE-TR-111 b,10.873,165.27160
CoRoT-10 b,10.873,867.67590
CoRoT-10 b,10.870,874.00000
HATS-10 b,10.862,167.17858
HATS-10 b,10.862,185.93055
TOI-172 b,10.817,1722.63860
Kepler-419 b,10.800,794.50000
WASP-23 b,10.783,280.95000
WASP-23 b,10.783,279.37257
WASP-32 b,10.761,835.89290
WASP-126 b,10.761,88.99240
WASP-105 b,10.761,572.09400
TOI-2158 b,10.761,260.61929
Kepler-77 b,10.761,165.90726
Kepler-77 b,10.761,136.66100
Kepler-74 b,10.761,191.96932
Kepler-45 b,10.761,153.82972
Kepler-419 b,10.761,820.00140
Kepler-15 b,10.761,201.18639
HAT-P-12 b,10.761,66.74430
Kepler-77 b,10.760,225.65000
Kepler-74 b,10.760,200.22000
Kepler-45 b,10.760,160.49700
Kepler-15 b,10.760,209.76000
HAT-P-12 b,10.749,66.23577
HAT-P-12 b,10.749,67.05900
WASP-2 b,10.705,279.68000
CoRoT-28 b,10.705,152.87623
CoRoT-28 b,10.705,153.82972
HATS-22 b,10.682,870.85420
WASP-80 b,10.671,171.62820
WASP-80 b,10.671,176.07000
HAT-P-2 b,10.660,2739.69460
WASP-80 b,10.650,174.80000
HAT-P-12 b,10.637,67.06213
WASP-107 b,10.626,38.13960
HAT-P-3 b,10.615,185.61272
HAT-P-18 b,10.615,62.29468
WASP-45 b,10.604,306.38812
Kepler-56 c,10.600,137.60000
Kepler-30 d,10.600,5403.11000
HATS-69 b,10.593,183.38791
HAT-P-54 b,10.581,578.45060
HAT-P-54 b,10.581,241.55080
WASP-84 b,10.559,220.57402
WASP-84 b,10.559,220.56500
K2-114 b,10.559,587.98550
POTS-1 b,10.548,734.16000
CoRoT-10 b,10.548,883.56740
KOI-1257 b,10.540,460.83000
WASP-56 b,10.536,143.02350
WASP-107 b,10.536,38.13960
TOI-4582 b,10.536,168.44906
HAT-P-3 b,10.536,206.58950
WISEP J121756.91+162640.2 A b,10.468,6992.00000
K2-114 b,10.447,638.83510
WASP-43 b,10.424,565.71400
WASP-129 b,10.424,317.83000
K2-113 b,10.424,410.00070
WASP-43 b,10.420,572.10000
WD 1856+534 b,10.400,4386.05400
TOI-2421 b,10.368,105.83686
WASP-107 b,10.357,37.82177
HAT-P-12 b,10.301,63.88383
WASP-57 b,10.267,213.57300
WASP-7 b,10.256,305.11680
HATS-5 b,10.223,75.64354
HATS-5 b,10.223,75.32300
HAT-P-3 b,10.211,189.10885
WASP-11 b,10.200,168.44990
Kepler-167 e,10.160,321.00669
TOI-2525 c,10.133,208.81326
HATS-46 b,10.122,54.98459
TOI-216.01,10.100,177.98391
KOI-94 d,10.100,58.40000
WASP-145 A b,10.088,282.86870
TOI-2337 b,10.088,508.52545
PH2 b,10.088,25426.40000
CoRoT-29 b,10.088,270.15550
CoRoT-29 b,10.088,266.97720
HAT-P-61 b,10.077,335.94463
HAT-P-3 b,10.077,189.42668
HAT-P-3 b,10.077,193.55847
K2-295 b,10.054,106.47305
Kepler-424 b,9.980,327.35000
Kepler-41 b,9.980,174.80000
WASP-130 b,9.976,390.93090
Lupus-TR-3 b,9.976,257.43100
Kepler-424 b,9.976,341.98508
HAT-P-3 b,9.976,190.38017
HAT-P-3 b,9.976,190.38017
Kepler-1708 b,9.960,1462.01067
CoRoT-13 b,9.920,423.03173
CoRoT-13 b,9.920,415.70400
HATS-75 b,9.909,156.05375
WASP-60 b,9.864,174.80650
Kepler-56 c,9.800,181.00000
Kepler-56 c,9.800,286.80000
HATS-8 b,9.785,43.86054
HATS-8 b,9.785,46.08535
WASP-132 b,9.752,130.31030
HAT-P-20 b,9.750,2320.10000
V1298 Tau b,9.729,203.41018
HD 332231 b,9.718,77.55052
HAT-P-20 b,9.718,2302.89900
HAT-P-20 b,9.718,2310.62410
Kepler-51 d,9.700,7.60000
WASP-60 b,9.640,160.50415
WASP-60 b,9.640,163.35800
TOI-954 b,9.550,55.30242
Kepler-41 b,9.550,156.69019
WASP-182 b,9.528,47.03884
WASP-144 b,9.528,139.84520
K2-261 b,9.528,70.87609
K2-261 b,9.528,59.75174
K2-261 b,9.505,67.69745
K2-287 b,9.494,100.11645
Kepler-51 d,9.460,5.70000
Kepler-9 b,9.438,80.09000
TOI-1298 b,9.427,113.14691
CoRoT-20 b,9.420,1347.54000
CoRoT-20 b,9.416,1344.42090
Kepler-51 c,9.310,9.70000
TOI-530 b,9.303,127.13136
HAT-P-3 b,9.270,187.83000
HAT-P-38 b,9.247,84.86061
HAT-P-38 b,9.247,84.85700
Kepler-9 c,9.225,54.34700
Kepler-1654 b,9.180,158.91500
HD 221416 b,9.170,60.50000
NGTS-11 b,9.158,109.33352
WASP-69 b,9.113,82.63200
HD 149026 b,9.113,116.95700
TOI-1268 b,9.100,96.40000
HD 149026 b,9.090,102.34126
SWEEPS-4 b,9.079,1207.70000
Kepler-46 b,9.079,281.27955
Kepler-46 b,9.057,1907.00000
K2-139 b,9.057,123.00021
Kepler-51 c,9.000,4.00000
Kepler-51 c,8.980,4.43000
WASP-148 b,8.967,112.51126
WASP-139 b,8.967,37.18611
HATS-48 A b,8.967,77.23269
WASP-29 b,8.878,77.86835
WASP-29 b,8.878,77.54700
KOI-1783.01,8.860,71.00000
Kepler-9 b,8.850,2175.00000
Kepler-30 d,8.800,23.10000
Kepler-177 c,8.730,14.70000
HATS-17 b,8.709,425.25654
WASP-29 b,8.698,77.55052
WASP-59 b,8.687,272.38031
WASP-59 b,8.687,274.27600
TOI-2525 b,8.676,26.69759
K2-329 b,8.676,82.63580
Kepler-9 c,8.650,509.70000
WASP-29 b,8.631,73.10090
TOI-2364 b,8.608,71.51139
Kepler-51 b,8.600,2.30000
HATS-49 b,8.575,112.19399
Kepler-34 b,8.564,69.92000
WASP-148 b,8.474,91.21675
Kepler-16 b,8.449,105.83300
Kepler-539 b,8.373,308.29510
Kepler-9 c,8.300,29.90000
TOI-3629 b,8.295,82.63539
HD 149026 b,8.295,120.77540
Kepler-9 b,8.290,43.40000
V1298 Tau e,8.239,368.68095
Kepler-9 b,8.200,43.50000
K2-39 b,8.200,50.30000
Kepler-35 b,8.160,40.36300
TOI-2000 c,8.140,81.70000
HATS-72 b,8.097,39.85588
WASP-148 b,8.093,92.48853
Kepler-9 c,8.080,29.90000
KOI-351 g,8.070,254.26400
Kepler-117 b,8.059,29.87500
TOI-216.02,8.000,18.75188
CoRoT-8 b,7.981,68.65128
K2-24 c,7.820,26.00000
K2-24 c,7.820,27.00000
Kepler-9 b,7.740,43.98767
K2-19 b,7.740,28.50000
TOI-216.02,7.690,30.00000
K2-60 b,7.656,135.39558
K2-280 b,7.500,37.10000
K2-24 c,7.500,15.40000
K2-19 b,7.460,44.00000
HD 89345 b,7.398,34.96130
Kepler-297 c,7.390,42.10000
HD 149026 b,7.331,114.10097
Kepler-177 c,7.300,13.50000
HD 89345 b,7.263,38.45743
Kepler-27 c,7.170,21.20000
TOI-257 b,7.163,43.86032
Kepler-79 d,7.160,6.00000
Kepler-51 b,7.100,2.10000
Kepler-177 c,7.100,7.50000
WASP-166 b,7.062,32.10083
HAT-P-26 b,7.062,22.24810
Kepler-47 d,7.040,19.02000
K2-19 b,7.000,32.40000
K2-141 c,7.000,7.40000
K2-141 c,7.000,8.00000
Kepler-18 d,6.980,16.40000
TOI-181 b,6.956,46.16870
CoRoT-8 b,6.938,69.28694
Kepler-79 d,6.912,11.30000
Kepler-51 b,6.890,3.69000
HATS-38 b,6.882,23.51942
HD 89345 b,6.860,35.70000
TOI-1338 b,6.850,33.00000
HD 149026 b,6.837,113.14748
HATS-37 A b,6.793,31.46517
Kepler-18 d,6.630,15.70000
KOI-94 e,6.560,35.00000
Kepler-56 b,6.510,22.10000
Kepler-56 b,6.510,236.20000
V1298 Tau d,6.434,98.52681
Kepler-51 c,6.400,3.90000
CoRoT-8 b,6.390,69.92000
CoRoTID 223977153 b,6.389,47.67450
CoRoT-8 b,6.389,69.28694
HAT-P-26 b,6.333,18.75100
HATS-7 b,6.311,38.13960
HATS-7 b,6.311,39.09309
K2-39 b,6.277,28.60470
Kepler-453 b,6.204,16.00000
TOI-4010 d,6.180,38.15000
PH1 b,6.180,169.00000
Kepler-87 c,6.140,6.40000
EPIC 211945201 b,6.120,27.00000
Kepler-63 b,6.110,120.00000
Kepler-450 b,6.083,19.40000
TOI-2498 b,6.060,34.62000
TOI-3884 b,6.000,16.50000
Kepler-18 d,6.000,14.90000
TOI-4010 c,5.930,20.31000
Kepler-27 b,5.850,41.80000
HD 152843 c,5.830,27.50000
TOI-532 b,5.820,61.50000
TOI-942 c,5.790,794.57500
Kepler-101 b,5.770,51.10000
K2-33 b,5.760,1144.18800
WASP-156 b,5.717,40.68224
K2-39 b,5.710,39.80000
K2-24 b,5.680,19.80000
K2-24 b,5.680,21.00000
DS Tuc A b,5.630,413.17900
Kepler-238 e,5.600,169.70000
Kepler-105 b,5.520,5.10000
Kepler-279 c,5.500,7.40000
Kepler-18 c,5.490,17.30000
Kepler-103 c,5.450,38.00000
TOI-1694 b,5.440,26.10000
KOI-1783.02,5.440,15.00000
Kepler-328 c,5.400,39.40000
K2-24 b,5.400,19.00000
K2-32 b,5.380,21.10000
TOI-1710 b,5.340,28.30000
Kepler-82 c,5.340,13.90000
Kepler-396 c,5.300,17.90000
Kepler-31 c,5.300,1493.70000
K2-32 b,5.299,15.00000
Kepler-82 c,5.280,18.40000
K2-108 b,5.280,59.40000
TOI-674 b,5.250,23.60000
TOI-1288 b,5.240,42.00000
Kepler-223 d,5.240,8.00000
Kepler-18 c,5.220,18.40000
Kepler-25 c,5.217,15.20000
Kepler-25 c,5.200,24.60000
V1298 Tau c,5.156,76.27882
Kepler-103 c,5.140,36.10000
K2-32 b,5.130,16.50000
Kepler-56 b,5.100,32.00000
TOI-421 c,5.090,16.42000
TOI-1728 b,5.050,26.78000
K2-33 b,5.040,1175.97100
Kepler-1656 b,5.020,48.60000
CoRoT-24 c,5.000,28.00000
Kepler-33 d,4.980,11.70000
NGTS-14 A b,4.977,29.24036
TOI-5678 b,4.910,20.00000
Kepler-27 c,4.900,4385.87000
CoRoT-22 b,4.880,12.20000
K2-19 c,4.860,25.60000
GJ 3470 b,4.830,13.90000
HAT-P-11 b,4.820,28.60470
TOI-942 b,4.810,826.35800
Kepler-359 c,4.800,2.90000
TOI-942 c,4.793,37.00000
HAT-P-11 b,4.730,25.74300
LTT 9779 b,4.720,29.32000
Kepler-31 c,4.710,29.50000
HD 219666 b,4.710,16.60000
LP 714-47 b,4.700,30.80000
Kepler-47 c,4.650,3.17000
Kepler-47 c,4.620,8899.00000
Kepler-359 d,4.600,2.70000
