pl_name,pl_radius (Earth radius),pl_mass (Earth mass)
WASP-142 b,17.150,266.97720
MASCARA-4 b,17.150,985.27300
WASP-13 b,17.127,166.86075
WASP-13 b,17.127,162.72896
WASP-103 b,17.127,473.54700
WASP-103 b,17.127,473.56670
WASP-103 b,17.127,462.44265
KELT-17 b,17.094,416.35730
KELT-14 b,17.038,380.12468
HAT-P-40 b,17.038,152.55840
OGLE-TR-10 b,17.023,209.76780
WASP-1 b,16.970,301.30284
WASP-1 b,16.970,292.00000
WASP-1 b,16.970,291.76794
KOI-13 b,16.948,2949.46240
HATS-11 b,16.926,270.15550
HAT-P-7 b,16.926,574.00098
HAT-P-7 b,16.926,584.80720
HAT-P-56 b,16.926,734.18730
WASP-176 b,16.870,271.74465
HATS-65 b,16.825,260.93843
WASP-48 b,16.814,254.26400
WASP-168 b,16.814,133.48860
TOI-1130 c,16.814,309.56642
MASCARA-1 b,16.814,1175.97100
HIP 65426 b,16.814,2860.47000
HATS-27 b,16.814,168.44990
HAT-P-8 b,16.814,430.34182
TOI-4329 b,16.813,143.02278
HAT-P-8 b,16.810,483.08000
bet Pic b,16.800,6356.00000
WASP-33 b,16.780,1303.00000
WASP-1 b,16.735,311.47340
HAT-P-7 b,16.713,534.59006
TOI-1431 b,16.701,991.62463
TIC 257060897 b,16.701,212.94503
WTS-1 b,16.700,1274.44000
CoRoT-1 b,16.700,327.35000
TOI-163 b,16.690,387.75260
HATS-24 b,16.668,775.50520
HATS-11 b,16.668,263.79890
HAT-P-13 b,16.668,287.95398
HAT-P-13 b,16.668,285.72917
WASP-1 b,16.634,273.33380
WASP-1 b,16.623,271.41500
NGTS-3 A b,16.589,756.43540
HAT-P-6 b,16.589,419.53560
CoRoT-1 b,16.589,359.14790
Kepler-7 b,16.567,137.61500
WASP-120 b,16.511,1541.47550
WASP-183 b,16.477,159.55066
OGLE-TR-182 b,16.477,340.07810
OGLE-TR-182 b,16.477,336.89980
GPX-1 b,16.477,6261.21962
CoRoT-2 b,16.477,1150.54460
HAT-P-30 b,16.466,232.96939
TOI-3023 b,16.432,197.05361
HAT-P-56 b,16.432,603.87700
HAT-P-56 b,16.432,692.86940
CoRoT-2 b,16.432,1048.83900
CoRoT-2 b,16.432,1102.82000
HAT-P-7 b,16.421,571.77617
CoRoT-2 b,16.421,1051.97300
HATS-35 b,16.410,388.38826
WASP-20 b,16.388,98.84513
WASP-20 b,16.388,98.84100
WASP-92 b,16.376,255.85315
WASP-71 b,16.370,712.54500
WASP-88 b,16.365,133.48860
WASP-71 b,16.365,706.21826
HD 206893 c,16.365,4036.42077
CoRoT-31 b,16.365,266.97720
CoRoT-2 b,16.365,1134.65310
WASP-3 b,16.298,654.72980
TOI-2154 b,16.287,292.40213
HD 209458 b,16.264,203.40000
Kepler-433 b,16.253,893.10230
Kepler-433 b,16.250,896.24000
WASP-1 b,16.242,268.88418
K2-237 b,16.197,433.20012
KELT-15 b,16.175,289.22530
WASP-140 b,16.141,775.50520
WASP-118 b,16.141,163.36462
TOI-2046 b,16.141,731.00534
TOI-1789 b,16.141,222.47988
Kepler-40 b,16.141,657.90810
Kepler-40 b,16.141,686.51280
K2-34 b,16.141,563.51259
K2-107 b,16.141,266.97720
HD 2685 b,16.141,371.86110
HAT-P-30 b,16.141,263.79890
CoRoT-12 b,16.141,290.81445
2MASS J02192210-3925225 b,16.141,4417.83700
CoRoT-12 b,16.140,291.43800
WASP-174 b,16.107,104.88337
Kepler-5 b,16.040,671.86400
Kepler-5 b,16.040,675.70658
OGLE-TR-132 b,16.030,378.20000
CoRoT-11 b,16.030,740.51000
WASP-63 b,16.029,120.77000
WASP-58 b,16.029,308.29510
WASP-101 b,16.029,162.09330
KOI-12 b,16.029,3178.30000
HATS-34 b,16.029,299.07803
CoRoT-11 b,16.029,832.71460
WASP-81 b,16.018,231.69807
WASP-15 b,16.010,172.00000
WASP-15 b,16.006,172.26386
Kepler-5 b,15.984,670.93913
HAT-P-45 b,15.984,283.49200
HAT-P-45 b,15.984,273.33380
CoRoT-11 b,15.984,743.72220
HD 209458 b,15.920,197.05000
WASP-73 b,15.917,908.99380
WASP-3 b,15.917,772.32690
HD 209458 b,15.917,217.71355
HAT-P-14 b,15.917,1093.33520
CoRoT-1 b,15.917,340.07810
Kepler-8 b,15.906,191.64300
Kepler-8 b,15.906,177.98480
HAT-P-7 b,15.906,566.05523
WASP-3 b,15.872,600.69870
WASP-3 b,15.872,645.19490
Kepler-8 b,15.872,187.51970
WASP-19 b,15.861,366.77398
KELT-16 b,15.861,874.03250
CoRoT-2 b,15.850,1052.01730
WASP-4 b,15.838,393.13900
HAT-P-57 b,15.838,587.98550
HAT-P-49 b,15.838,549.82300
HAT-P-49 b,15.838,562.55910
HATS-66 b,15.816,1694.03390
XO-3 b,15.805,2316.98070
WASP-63 b,15.805,117.59710
WASP-61 b,15.805,851.78440
WASP-19 b,15.805,362.32620
WASP-15 b,15.805,171.62820
WASP-101 b,15.805,157.96151
HD 209458 b,15.805,235.19420
HATS-51 b,15.805,244.09344
CoRoT-36 b,15.805,216.12332
WASP-101 b,15.800,158.91000
WASP-113 b,15.793,150.96925
WASP-15 b,15.782,188.15536
WASP-13 b,15.771,158.91500
KOI-13 b,15.760,2070.66245
WASP-74 b,15.737,262.52758
HD 209458 b,15.700,219.29000
WASP-67 b,15.693,133.48300
WASP-67 b,15.693,133.48860
WASP-66 b,15.693,746.90050
WASP-3 b,15.693,629.30340
WASP-119 b,15.693,390.93090
HATS-42 b,15.693,597.52040
HAT-P-9 b,15.693,212.94610
HAT-P-9 b,15.693,241.86863
HAT-P-8 b,15.693,406.82240
Kepler-91 b,15.690,209.76000
HAT-P-9 b,15.690,247.90000
KELT-10 b,15.681,215.80657
WASP-48 b,15.650,288.00000
TOI-1333 b,15.648,753.25710
WASP-19 b,15.637,354.06262
HATS-24 b,15.637,718.29580
HAT-P-6 b,15.637,337.85329
WASP-118 b,15.625,165.27160
HAT-P-9 b,15.614,238.05467
WASP-19 b,15.603,339.76027
WASP-66 b,15.581,737.36560
WASP-66 b,15.581,753.25710
WASP-66 b,15.581,737.33500
WASP-62 b,15.581,181.15500
WASP-62 b,15.581,180.52744
HD 209458 b,15.581,232.01590
CoRoT-11 b,15.581,791.39670
WASP-13 b,15.569,151.59900
CoRoT-5 b,15.558,151.92274
CoRoT-5 b,15.558,148.42000
WASP-19 b,15.536,371.21000
WASP-87 b,15.524,692.86940
WASP-3 b,15.524,559.36000
Kepler-91 b,15.513,279.68000
HATS-70 b,15.513,4100.00700
HATS-12 b,15.513,759.61370
HATS-52 b,15.491,711.93920
Kepler-8 b,15.480,187.51970
HATS-3 b,15.480,349.61300
HATS-3 b,15.480,340.39593
HATS-3 b,15.480,340.38200
WASP-77 A b,15.468,727.83070
WASP-24 b,15.468,394.10920
WASP-159 b,15.468,174.80650
WASP-14 b,15.468,2809.61720
WASP-136 b,15.468,479.92330
TOI-150.01,15.468,556.20250
HD 209458 b,15.468,226.93062
HAT-P-9 b,15.468,247.27174
WASP-15 b,15.457,175.12433
OGLE-TR-56 b,15.446,441.76500
K2-34 b,15.435,539.67534
WASP-19 b,15.424,370.27195
WASP-7 b,15.401,311.47340
TOI-778 b,15.400,878.00000
XO-7 b,15.390,225.34147
WASP-4 b,15.368,409.68287
WASP-58 b,15.360,282.86000
WASP-58 b,15.356,285.72917
WASP-127 b,15.356,57.20940
KELT-11 b,15.356,61.97685
HAT-P-23 b,15.356,664.26470
HAT-P-23 b,15.334,626.12510
HAT-P-23 b,15.334,664.23700
Kepler-91 b,15.323,257.44230
HAT-P-4 b,15.323,176.71348
WASP-4 b,15.289,396.96967
WTS-2 b,15.278,355.96960
WTS-2 b,15.278,403.64410
WASP-7 b,15.278,305.11680
WASP-7 b,15.278,344.20989
TOI-2818 b,15.278,225.65817
OGLE-TR-56 b,15.278,1048.83900
OGLE-TR-56 b,15.278,441.77000
HAT-P-7 b,15.278,564.44200
WASP-74 b,15.244,228.83760
TrES-2 b,15.244,473.56670
TOI-1516 b,15.244,1004.33777
OGLE-TR-211 b,15.244,327.35100
Kepler-76 b,15.244,638.83830
KELT-24 b,15.244,1334.87931
HD 209458 b,15.244,219.30270
HAT-P-1 b,15.244,168.44990
HD 209458 b,15.233,217.70400
HD 209458 b,15.233,216.76006
WASP-4 b,15.211,393.15571
HAT-P-36 b,15.211,611.82275
WASP-28 b,15.177,285.71700
KELT-2 A b,15.132,540.31100
KELT-11 b,15.132,54.34893
K2-34 b,15.132,559.38080
HATS-12 b,15.132,756.43540
HAT-P-34 b,15.132,2227.98830
CoRoT-12 b,15.132,281.91521
TOI-2109 b,15.098,1595.49860
KELT-3 b,15.076,469.41500
KELT-3 b,15.076,469.75274
CoRoT-12 b,15.065,277.46559
HAT-P-7 b,15.043,564.44200
WASP-4 b,15.031,397.28750
Kepler-412 b,15.031,299.07803
XO-4 b,15.020,512.34196
WASP-62 b,15.020,184.34140
HATS-53 b,15.020,189.10885
HAT-P-30 b,15.020,237.10118
HAT-P-30 b,15.020,225.96800
WASP-114 b,15.009,562.24127
HATS-18 b,14.986,629.30340
HAT-P-4 b,14.986,216.12440
TrES-3 b,14.975,607.03000
TrES-3 b,14.975,572.41183
WASP-55 b,14.964,199.27941
WASP-39 b,14.930,89.94589
HAT-P-58 b,14.930,118.23217
HAT-P-4 b,14.930,216.12000
HAT-P-35 b,14.930,335.62848
HAT-P-35 b,14.930,334.97900
XO-4 b,14.910,565.71000
WASP-7 b,14.908,305.11680
WASP-63 b,14.908,107.74437
WASP-55 b,14.908,193.87630
