PType,Name,Radius(m),Mass(Kg),Volume(m^3),Density(Kg/m^3),Log Density,Log Radius,Log D/Log R,Mean,Median,Std. Dev.
NS,4u 1820 30,11000,3.38E+33,5575279762571,6.06068E+20,20.78252153,4.041392685,5.142415782,-0.7149746406,-1.108441583,0.6975349309
NS,SAX J1748.9-2021,11000,3.16E+33,,,,,5.135078906,,,
NS,EXO1745-248,10000,2.70E+33,,,,,5.20211754,,,
NS,KS1731-260,11000,4.21E+33,,,,,5.166019214,,,
NS,4U 1724-207,12000,3.38E+33,,,,,5.067049385,,,
NS,4U 1608-52,10000,3.19E+33,,,,,5.220289291,,,
P,GQ Lup b,328861214.1,5.88563E+28,,,,,0.3048799207,,,
P,HAT-P-35 b,253797355.2,1.42774E+28,,,,,0.2759358133,,,
P,GQ Lup b,214304160,3.79682E+28,,,,,0.355807073,,,
P,PDS 70 b,194455512.8,5.69577E+27,,,,,0.2735012729,,,
P,DH Tau b,193026818.4,2.08845E+28,,,,,0.3428690852,,,
P,CT Cha b,157283946,3.22754E+28,,,,,0.4022027869,,,
P,TOI-3540 A b,150134095.9,2.24032E+27,,,,,0.2689157715,,,
P,WASP-79 b,149438883,1.70863E+27,,,,,0.2553278571,,,
P,HAT-P-67 b,149062575.1,6.4552E+26,,,,,0.2040426112,,,
P,XO-6 b,147991054.3,8.35379E+27,,,,,0.3413718874,,,
P,WASP-78 b,147276707.1,1.63279E+27,,,,,0.2554363892,,,
P,HAT-P-41 b,146555981.8,2.25932E+27,,,,,0.2735583835,,,
P,PDS 70 c,145841634.6,3.79718E+27,,,,,0.3020288616,,,
P,HIP 65 A b,145127287.4,6.10017E+27,,,,,0.3281166676,,,
P,HIP 75056 A b,142984245.8,4.74645E+28,,,,,0.4400108983,,,
P,WASP-17 b,142340057.7,9.72078E+26,,,,,0.2337243352,,,
P,WASP-17 b,142340057.7,9.22714E+26,,,,,0.2309483284,,,
P,Kepler-435 b,142295411,1.59477E+27,,,,,0.260148123,,,
P,Kepler-435 b,142269898.6,1.6138E+27,,,,,0.2608110879,,,
P,WASP-17 b,141982884.1,8.60061E+26,,,,,0.2276348034,,,
P,HAT-P-32 b,141555551.4,1.29104E+27,,,,,0.2497962055,,,
P,XO-3 b,139412509.8,2.51562E+28,,,,,0.4107965281,,,
P,WASP-178 b,138691784.5,2.67701E+27,,,,,0.2922371032,,,
P,WASP-12 b,138481307.2,2.78143E+27,,,,,0.294545064,,,
P,WASP-17 b,138124133.6,9.05627E+26,,,,,0.2351337483,,,
P,WASP-78 b,137977437.3,2.10743E+27,,,,,0.2803802192,,,
P,WASP-1 b,137977437.3,1.68974E+27,,,,,0.268594564,,,
P,KELT-19 A b,136548742.9,7.72726E+27,,,,,0.3515639287,,,
P,WASP-12 b,135834395.7,2.79093E+27,,,,,0.2981221663,,,
P,KELT-9 b,135190207.6,5.46794E+27,,,,,0.3348810158,,,
P,WASP-17 b,135120048.5,9.68281E+26,,,,,0.2425066004,,,
P,HAT-P-65 b,135120048.5,1.00056E+27,,,,,0.2442580369,,,
P,TOI-1518 b,134048527.7,4.36673E+27,,,,,0.3243751608,,,
P,WASP-17 b,133691354.1,1.4809E+27,,,,,0.2670562959,,,
P,HAT-P-70 b,133691354.1,1.28724E+28,,,,,0.3826264596,,,
P,WASP-121 b,133334180.5,2.24603E+27,,,,,0.289787031,,,
P,KOI-13 b,132983385,1.57576E+28,,,,,0.3943981198,,,
P,WASP-12 b,132977006.9,3.81616E+27,,,,,0.3185967508,,,
P,KELT-8 b,132977006.9,1.62899E+27,,,,,0.2730872803,,,
P,KELT-8 b,132977006.9,1.64608E+27,,,,,0.2736451254,,,
P,HATS-23 b,132977006.9,2.79093E+27,,,,,0.3018706971,,,
P,CFHTWIR-Oph 98 b,132977006.9,1.48089E+28,,,,,0.3910872192,,,
P,HAT-P-33 b,132262659.7,1.7467E+27,,,,,0.2777609946,,,
P,TrES-4 b,131401616.2,9.45497E+26,,,,,0.2460731487,,,
P,TrES-4 b,131401616.2,9.37903E+26,,,,,0.245641745,,,
P,WASP-76 b,130827587.2,1.7467E+27,,,,,0.2796743055,,,
P,KELT-20 b,130827587.2,3.2276E+28,,,,,0.4357304857,,,
P,WASP-12 b,130470413.6,2.71498E+27,,,,,0.3037568455,,,
P,WASP-12 b,130470413.6,2.63904E+27,,,,,0.3022386127,,,
P,WASP-79 b,130113240,1.60051E+27,,,,,0.2759572096,,,
P,WASP-12 b,130113240,2.48715E+27,,,,,0.2995505219,,,
P,WASP-12 b,130043080.9,2.67701E+27,,,,,0.3035831023,,,
P,WASP-178 b,129398892.8,3.15166E+27,,,,,0.3132002678,,,
P,TrES-4 b,129398892.8,1.66506E+27,,,,,0.279039658,,,
P,GSC 06214-00210 b,128684545.6,2.84788E+28,,,,,0.4320664766,,,
P,TrES-4 b,128614386.5,1.74473E+27,,,,,0.2826104895,,,
P,HAT-P-32 b,128397531.1,1.63279E+27,,,,,0.2793556166,,,
P,WASP-12 b,128199810,2.67617E+27,,,,,0.3060924852,,,
P,HAT-P-32 b,127900039.3,1.63272E+27,,,,,0.2800353152,,,
P,HAT-P-32 b,127900039.3,1.42394E+27,,,,,0.2727059225,,,
P,TrES-4 b,127472706.6,1.75619E+27,,,,,0.2845295063,,,
P,KELT-9 b,127472706.6,4.63256E+27,,,,,0.3365009539,,,
P,KELT-12 b,127255851.2,1.80366E+27,,,,,0.2862584806,,,
P,TOI-640 b,126611663.1,1.67076E+27,,,,,0.2830498475,,,
P,TOI-2193 A b,126541504,1.78466E+27,,,,,0.286682587,,,
P,TOI-2669 b,125827156.8,1.15813E+27,,,,,0.2644946424,,,
P,Kepler-12 b,125399824.1,8.20191E+26,,,,,0.2465870787,,,
P,WASP-121 b,125323286.9,2.19666E+27,,,,,0.2995268899,,,
P,TrES-4 b,125182968.7,1.7467E+27,,,,,0.2874321086,,,
P,HATS-26 b,125112809.6,1.23408E+27,,,,,0.2688982704,,,
P,HAT-P-32 b,125112809.6,1.57583E+27,,,,,0.2820093954,,,
P,WASP-17 b,124895954.2,9.22714E+26,,,,,0.2536060407,,,
P,KELT-14 b,124608939.7,2.43779E+27,,,,,0.3061262155,,,
P,KELT-20 b,124468621.5,6.42103E+27,,,,,0.3582847347,,,
P,KELT-15 b,124398462.4,2.48715E+27,,,,,0.3075016133,,,
P,HAT-P-57 b,124398462.4,2.67701E+27,,,,,0.3114483146,,,
P,WASP-17 b,124372950,9.31882E+26,,,,,0.2548689526,,,
P,TrES-4 b,124041288.8,1.70303E+27,,,,,0.2876897492,,,
P,OGLE-TR-56 b,123964751.6,2.67701E+27,,,,,0.3120689266,,,
P,WASP-12 b,123684115.2,2.65803E+27,,,,,0.3120898047,,,
P,HAT-P-40 b,123684115.2,1.16758E+27,,,,,0.2679402946,,,
P,HAT-P-40 b,123684115.2,1.10308E+27,,,,,0.2648904614,,,
P,WASP-94 A b,122969768,8.58126E+26,,,,,0.2524249776,,,
P,WASP-94 A b,122963389.9,8.65757E+26,,,,,0.2529093291,,,
P,OGLE-TR-10 b,122963389.9,1.29104E+27,,,,,0.2743616009,,,
P,CoRoT-1 b,122606216.3,2.33526E+27,,,,,0.3066954599,,,
P,WASP-82 b,122268177,2.37313E+27,,,,,0.3080495158,,,
P,TrES-4 b,121968406.3,1.74101E+27,,,,,0.2918498041,,,
P,Kepler-12 b,121968406.3,8.16393E+26,,,,,0.2511756984,,,
P,HAT-P-64 b,121751550.9,1.10118E+27,,,,,0.2675594038,,,
P,WASP-88 b,121534695.5,1.06318E+27,,,,,0.2659861004,,,
P,WASP-88 b,121534695.5,1.0822E+27,,,,,0.2669383362,,,
P,WASP-78 b,121534695.5,1.68967E+27,,,,,0.2908720853,,,
P,Qatar-7 b,121534695.5,3.56935E+27,,,,,0.3310449791,,,
P,KELT-4 A b,121464536.4,1.71253E+27,,,,,0.2916958619,,,
P,Kepler-12 b,121177521.9,8.22089E+26,,,,,0.25268557,,,
P,Kepler-12 b,121177521.9,8.18258E+26,,,,,0.2524345881,,,
P,WASP-100 b,120820348.3,3.85414E+27,,,,,0.3362250811,,,
P,WASP-100 b,120820348.3,3.81616E+27,,,,,0.3356930462,,,
P,WASP-100 b,120801214,3.85399E+27,,,,,0.336251401,,,
P,HATS-56 b,120680030.1,1.14295E+27,,,,,0.271112537,,,
P,HAT-P-33 b,120533333.8,1.25307E+27,,,,,0.2762696744,,,
P,HAT-P-33 b,120533333.8,1.44666E+27,,,,,0.2839904331,,,
P,HATS-67 b,120463174.7,2.75295E+27,,,,,0.318672681,,,
P,HAT-P-41 b,120463174.7,1.51887E+27,,,,,0.2867109594,,,
P,HAT-P-41 b,120463174.7,1.51881E+27,,,,,0.2867086343,,,
P,HAT-P-41 b,120463174.7,1.50938E+27,,,,,0.2863740076,,,
P,CoRoT-35 b,120106001.1,2.08844E+27,,,,,0.3043528822,,,
P,WASP-33 b,120035842,6.22737E+27,,,,,0.3631848621,,,
P,HATS-64 b,120035842,1.82265E+27,,,,,0.2971393027,,,
P,HAT-P-69 b,119818986.6,6.79695E+27,,,,,0.3682167575,,,
P,WASP-82 b,119391653.9,2.35425E+27,,,,,0.311854688,,,
P,WASP-79 b,119391653.9,1.6138E+27,,,,,0.2915497124,,,
P,WASP-48 b,119391653.9,1.86821E+27,,,,,0.2994209985,,,
P,WASP-48 b,119391653.9,1.95745E+27,,,,,0.3019298052,,,
P,WASP-48 b,119391653.9,1.86054E+27,,,,,0.2991996647,,,
P,1RXS J160929.1-210524 b,118932430.7,1.51909E+28,,,,,0.4128135032,,,
P,WASP-54 b,118173436.8,1.20745E+27,,,,,0.2777597197,,,
P,WASP-54 b,118173436.8,1.15055E+27,,,,,0.2751625861,,,
P,bet Pic b,117962959.5,1.32901E+28,,,,,0.4071242599,,,
P,TOI-3807 b,117962959.5,1.97452E+27,,,,,0.3045359331,,,
P,K2-237 b,117962959.5,3.03774E+27,,,,,0.3277141689,,,
P,Kepler-447 b,117931069,2.60097E+27,,,,,0.3194103033,,,
P,Kepler-7 b,117892800.4,8.60061E+26,,,,,0.2599246822,,,
P,Kepler-7 b,117892800.4,8.52467E+26,,,,,0.2594474639,,,
P,WASP-103 b,117675945,2.79093E+27,,,,,0.3235903515,,,
P,K2-237 b,117388930.5,2.34666E+27,,,,,0.3146960081,,,
P,WASP-187 b,117248612.3,1.51887E+27,,,,,0.2914955847,,,
P,HATS-31 b,117248612.3,1.67076E+27,,,,,0.296625357,,,
P,WASP-14 b,116744742.4,1.49989E+28,,,,,0.4155397166,,,
P,OGLE2-TR-L9 b,116744742.4,8.35379E+27,,,,,0.3840327206,,,
P,HAT-P-60 b,116604424.2,1.08978E+27,,,,,0.2745984021,,,
P,WASP-90 b,116534265.1,1.19611E+27,,,,,0.2797167307,,,
P,Kepler-7 b,115960236.1,8.37278E+26,,,,,0.2613805733,,,
P,WASP-82 b,115819917.9,2.22135E+27,,,,,0.3141426848,,,
P,KELT-8 b,115819917.9,1.25307E+27,,,,,0.2833082838,,,
P,WASP-189 b,115743380.7,3.77817E+27,,,,,0.3428667628,,,
P,TOI-2803 A b,115532903.4,1.85112E+27,,,,,0.304764665,,,
P,OGLE2-TR-L9 b,115386207.1,8.23988E+27,,,,,0.3854268341,,,
P,TrES-4 b,115099192.6,1.4809E+27,,,,,0.2934126016,,,
P,OGLE2-TR-L9 b,115099192.6,8.54329E+27,,,,,0.3878292828,,,
P,Kepler-7 b,114531541.7,8.069E+26,,,,,0.2615678889,,,
P,WASP-33 b,114384845.4,2.22135E+27,,,,,0.3163695993,,,
P,KELT-7 b,114384845.4,2.63904E+27,,,,,0.3256554664,,,
P,WASP-93 b,114174368.1,2.79093E+27,,,,,0.329001716,,,
P,NGTS-2 b,114027671.8,1.40496E+27,,,,,0.292235369,,,
P,WASP-33 b,113887353.6,3.97375E+27,,,,,0.3485004256,,,
P,WASP-78 b,113670498.2,1.55115E+27,,,,,0.2981288723,,,
P,HAT-P-66 b,113670498.2,1.4866E+27,,,,,0.2958372757,,,
P,HAT-P-49 b,113670498.2,4.1769E+27,,,,,0.3515324764,,,
P,KELT-21 b,113383483.7,7.42348E+27,,,,,0.3829971709,,,
P,WASP-94 A b,112956151,9.49295E+26,,,,,0.2727688248,,,
P,WASP-54 b,112956151,1.12017E+27,,,,,0.28169504,,,
P,WASP-177 b,112956151,9.64483E+26,,,,,0.2736248766,,,
P,WASP-167 b,112956151,1.51887E+28,,,,,0.4222948967,,,
P,HATS-40 b,112956151,3.01876E+27,,,,,0.3351595788,,,
P,HAT-P-39 b,112311962.9,1.13721E+27,,,,,0.2835219582,,,
P,HAT-P-39 b,112311962.9,1.0803E+27,,,,,0.2807524255,,,
P,WASP-172 b,112241803.8,8.92337E+26,,,,,0.2705508727,,,
P,KELT-18 b,112241803.8,2.24034E+27,,,,,0.320212546,,,
P,HATS-39 b,112241803.8,1.19611E+27,,,,,0.2863571146,,,
P,WASP-74 b,111527456.6,1.79227E+27,,,,,0.3093141445,,,
P,WASP-74 b,111527456.6,1.80366E+27,,,,,0.3096560708,,,
P,KELT-3 b,111527456.6,3.68326E+27,,,,,0.3481876246,,,
P,K2-260 b,110953427.6,2.696E+27,,,,,0.3322761756,,,
P,CoRoT-1 b,110883268.5,1.95555E+27,,,,,0.3150557857,,,
P,WASP-31 b,110813109.4,9.11323E+26,,,,,0.2739493147,,,
P,WASP-153 b,110813109.4,7.4045E+26,,,,,0.262739717,,,
P,WASP-31 b,110742950.3,9.2841E+26,,,,,0.275064155,,,
P,WASP-31 b,110742950.3,9.07485E+26,,,,,0.2738334438,,,
P,HD 202772 A b,110455935.8,1.93087E+27,,,,,0.3150611247,,,
P,Qatar-10 b,110309239.5,1.39736E+27,,,,,0.2978366472,,,
P,TOI-2796 b,110098762.2,8.35375E+26,,,,,0.270393489,,,
P,KOI-12 b,110098762.2,1.01005E+28,,,,,0.4049981165,,,
P,WASP-31 b,109881906.8,9.07526E+26,,,,,0.2752160262,,,
P,KELT-7 b,109594892.3,2.43019E+27,,,,,0.3288868665,,,
P,WASP-79 b,109384415,1.6138E+27,,,,,0.3071163925,,,
P,WASP-142 b,109384415,1.59482E+27,,,,,0.3064770508,,,
P,MASCARA-4 b,109384415,5.88563E+27,,,,,0.3770188533,,,
P,WASP-13 b,109237718.7,9.96759E+26,,,,,0.2813235914,,,
P,WASP-13 b,109237718.7,9.72078E+26,,,,,0.2799689214,,,
P,WASP-103 b,109237718.7,2.82878E+27,,,,,0.3376793887,,,
P,WASP-103 b,109237718.7,2.8289E+27,,,,,0.3376816363,,,
P,WASP-103 b,109237718.7,2.76245E+27,,,,,0.3363973869,,,
P,KELT-17 b,109027241.4,2.48715E+27,,,,,0.3310727273,,,
P,KELT-14 b,108670067.8,2.27071E+27,,,,,0.3267431385,,,
P,HAT-P-40 b,108670067.8,9.11323E+26,,,,,0.2774045972,,,
P,OGLE-TR-10 b,108574396.3,1.25307E+27,,,,,0.2947715817,,,
P,WASP-1 b,108236357,1.79986E+27,,,,,0.3149008893,,,
P,WASP-1 b,108236357,1.74429E+27,,,,,0.3132056265,,,
P,WASP-1 b,108236357,1.7429E+27,,,,,0.3131626509,,,
P,KOI-13 b,108096038.8,1.76189E+28,,,,,0.4384546251,,,
P,HATS-11 b,107955720.6,1.6138E+27,,,,,0.3094669908,,,
P,HAT-P-7 b,107955720.6,3.42885E+27,,,,,0.3502100272,,,
P,HAT-P-7 b,107955720.6,3.4934E+27,,,,,0.3512183465,,,
P,HAT-P-56 b,107955720.6,4.38574E+27,,,,,0.3635165085,,,
P,WASP-176 b,107598547,1.62329E+27,,,,,0.3103771661,,,
P,HATS-65 b,107311532.5,1.55874E+27,,,,,0.3086608799,,,
P,WASP-48 b,107241373.4,1.51887E+27,,,,,0.3073765777,,,
P,WASP-168 b,107241373.4,7.97408E+26,,,,,0.2725287485,,,
P,TOI-1130 c,107241373.4,1.84923E+27,,,,,0.3180198048,,,
P,MASCARA-1 b,107241373.4,7.02478E+27,,,,,0.3902012009,,,
P,HIP 65426 b,107241373.4,1.70873E+28,,,,,0.4382738492,,,
P,HATS-27 b,107241373.4,1.00625E+27,,,,,0.2851093239,,,
P,HAT-P-8 b,107241373.4,2.57069E+27,,,,,0.3358346556,,,
P,TOI-4329 b,107234995.3,8.54361E+26,,,,,0.2762702563,,,
P,HAT-P-8 b,107215861,2.88573E+27,,,,,0.3421296201,,,
P,bet Pic b,107152080,3.79682E+28,,,,,0.4816101256,,,
P,WASP-33 b,107024518,7.7836E+27,,,,,0.3961203968,,,
P,WASP-1 b,106737503.5,1.86062E+27,,,,,0.3191973308,,,
P,HAT-P-7 b,106597185.3,3.19343E+27,,,,,0.3486571807,,,
P,TOI-1431 b,106520648.1,5.92357E+27,,,,,0.3822134832,,,
P,TIC 257060897 b,106520648.1,1.27205E+27,,,,,0.2989889044,,,
P,WTS-1 b,106514270,7.61299E+27,,,,,0.3957994434,,,
P,CoRoT-1 b,106514270,1.95546E+27,,,,,0.3222629963,,,
P,TOI-163 b,106450489,2.31628E+27,,,,,0.3315323671,,,
P,HATS-24 b,106310170.8,4.63256E+27,,,,,0.3692742999,,,
P,HATS-11 b,106310170.8,1.57583E+27,,,,,0.3109291471,,,
P,HAT-P-13 b,106310170.8,1.72012E+27,,,,,0.315669663,,,
P,HAT-P-13 b,106310170.8,1.70683E+27,,,,,0.3152499938,,,
P,WASP-1 b,106093315.4,1.63279E+27,,,,,0.313216362,,,
P,WASP-1 b,106023156.3,1.62132E+27,,,,,0.3129537418,,,
P,NGTS-3 A b,105806300.9,4.51864E+27,,,,,0.368793137,,,
P,HAT-P-6 b,105806300.9,2.50614E+27,,,,,0.3368905065,,,
P,CoRoT-1 b,105806300.9,2.14541E+27,,,,,0.3284793419,,,
P,Kepler-7 b,105665982.7,8.22057E+26,,,,,0.2767978131,,,
P,WASP-120 b,105308809.1,9.20816E+27,,,,,0.408190023,,,
P,WASP-183 b,105091953.7,9.53092E+26,,,,,0.2857717241,,,
P,OGLE-TR-182 b,105091953.7,2.03149E+27,,,,,0.3267462569,,,
P,OGLE-TR-182 b,105091953.7,2.0125E+27,,,,,0.3262378885,,,
P,GPX-1 b,105091953.7,3.7402E+28,,,,,0.4844560763,,,
P,CoRoT-2 b,105091953.7,6.87289E+27,,,,,0.3927339411,,,
P,HAT-P-30 b,105021794.6,1.39167E+27,,,,,0.3063860455,,,
P,TOI-3023 b,104804939.2,1.17712E+27,,,,,0.297689904,,,
P,HAT-P-56 b,104804939.2,3.60732E+27,,,,,0.3583309194,,,
P,HAT-P-56 b,104804939.2,4.13892E+27,,,,,0.3657748161,,,
P,CoRoT-2 b,104804939.2,6.26534E+27,,,,,0.3882248006,,,
P,CoRoT-2 b,104804939.2,6.58781E+27,,,,,0.3909423528,,,
P,HAT-P-7 b,104734780.1,3.41556E+27,,,,,0.3554948231,,,
P,CoRoT-2 b,104734780.1,6.28407E+27,,,,,0.3885092296,,,
P,HATS-35 b,104664621,2.32008E+27,,,,,0.3346734257,,,
P,WASP-20 b,104524302.8,5.90461E+26,,,,,0.2608048759,,,
P,WASP-20 b,104524302.8,5.90437E+26,,,,,0.2608026131,,,
P,WASP-92 b,104447765.6,1.52836E+27,,,,,0.3124419933,,,
P,WASP-71 b,104409497,4.25646E+27,,,,,0.3679804825,,,
P,WASP-88 b,104377606.5,7.97408E+26,,,,,0.2773261757,,,
P,WASP-71 b,104377606.5,4.21867E+27,,,,,0.3675531607,,,
P,HD 206893 c,104377606.5,2.4112E+28,,,,,0.4619657511,,,
P,CoRoT-31 b,104377606.5,1.59482E+27,,,,,0.3148676069,,,
P,CoRoT-2 b,104377606.5,6.77796E+27,,,,,0.3932339496,,,
P,WASP-3 b,103950273.8,3.91109E+27,,,,,0.3642006022,,,
P,TOI-2154 b,103880114.7,1.74669E+27,,,,,0.3206537022,,,
P,HD 209458 b,103733418.4,1.21503E+27,,,,,0.3012433761,,,
P,Kepler-433 b,103663259.3,5.33504E+27,,,,,0.3815266073,,,
P,Kepler-433 b,103644125,5.35378E+27,,,,,0.3817504489,,,
P,WASP-1 b,103593100.2,1.60621E+27,,,,,0.3166083026,,,
P,K2-237 b,103306085.7,2.58776E+27,,,,,0.3429517343,,,
P,KELT-15 b,103165767.5,1.72772E+27,,,,,0.3213034911,,,
P,WASP-140 b,102948912.1,4.63256E+27,,,,,0.3751415015,,,
P,WASP-118 b,102948912.1,9.75875E+26,,,,,0.2907213544,,,
P,TOI-2046 b,102948912.1,4.36673E+27,,,,,0.3719385343,,,
P,TOI-1789 b,102948912.1,1.32901E+27,,,,,0.3074615349,,,
P,Kepler-40 b,102948912.1,3.93008E+27,,,,,0.3662281292,,,
P,Kepler-40 b,102948912.1,4.10095E+27,,,,,0.3685349154,,,
P,K2-34 b,102948912.1,3.3662E+27,,,,,0.357833672,,,
P,K2-107 b,102948912.1,1.59482E+27,,,,,0.3173438724,,,
P,HD 2685 b,102948912.1,2.22135E+27,,,,,0.3353038586,,,
P,HAT-P-30 b,102948912.1,1.57583E+27,,,,,0.3166947474,,,
P,CoRoT-12 b,102948912.1,1.73721E+27,,,,,0.321979285,,,
P,2MASS J02192210-3925225 b,102948912.1,2.63904E+28,,,,,0.4694458374,,,
P,CoRoT-12 b,102942534,1.74093E+27,,,,,0.3221065323,,,
P,WASP-174 b,102732056.7,6.26531E+26,,,,,0.267076228,,,
P,Kepler-5 b,102304724,4.01345E+27,,,,,0.3685118947,,,
P,Kepler-5 b,102304724,4.0364E+27,,,,,0.3688211093,,,
P,OGLE-TR-132 b,102240943,2.25922E+27,,,,,0.3374683042,,,
P,CoRoT-11 b,102240943,4.42351E+27,,,,,0.3739006476,,,
P,WASP-63 b,102234564.9,7.21432E+26,,,,,0.2755835442,,,
P,WASP-58 b,102234564.9,1.84163E+27,,,,,0.326398525,,,
P,WASP-101 b,102234564.9,9.68281E+26,,,,,0.2915401505,,,
P,KOI-12 b,102234564.9,1.89859E+28,,,,,0.4529002916,,,
P,HATS-34 b,102234564.9,1.78657E+27,,,,,0.3247527356,,,
P,CoRoT-11 b,102234564.9,4.9743E+27,,,,,0.3802750829,,,
P,WASP-81 b,102164405.8,1.38407E+27,,,,,0.3110348252,,,
P,WASP-15 b,102113381,1.02746E+27,,,,,0.2949686137,,,
P,WASP-15 b,102087868.6,1.02904E+27,,,,,0.2950963823,,,
P,Kepler-5 b,101947550.4,4.00792E+27,,,,,0.3690760738,,,
P,HAT-P-45 b,101947550.4,1.69347E+27,,,,,0.322357204,,,
P,HAT-P-45 b,101947550.4,1.63279E+27,,,,,0.3203783424,,,
P,CoRoT-11 b,101947550.4,4.4427E+27,,,,,0.3746611787,,,
P,HD 209458 b,101539352,1.1771E+27,,,,,0.3033510322,,,
P,WASP-73 b,101520217.7,5.42997E+27,,,,,0.3863149356,,,
P,WASP-3 b,101520217.7,4.61357E+27,,,,,0.3774772043,,,
P,HD 209458 b,101520217.7,1.30053E+27,,,,,0.3087939978,,,
P,HAT-P-14 b,101520217.7,6.53115E+27,,,,,0.3963307831,,,
P,CoRoT-1 b,101520217.7,2.03149E+27,,,,,0.3329858338,,,
P,Kepler-8 b,101450058.6,1.1448E+27,,,,,0.3019994239,,,
P,Kepler-8 b,101450058.6,1.06321E+27,,,,,0.2979888026,,,
P,HAT-P-7 b,101450058.6,3.38139E+27,,,,,0.3607492396,,,
P,WASP-3 b,101233203.2,3.58833E+27,,,,,0.3643619742,,,
P,WASP-3 b,101233203.2,3.85414E+27,,,,,0.3682386739,,,
P,Kepler-8 b,101233203.2,1.12017E+27,,,,,0.3012027745,,,
P,WASP-19 b,101163044.1,2.19096E+27,,,,,0.3377230464,,,
P,KELT-16 b,101163044.1,5.22112E+27,,,,,0.3848346058,,,
P,CoRoT-2 b,101092885,6.28433E+27,,,,,0.3950179901,,,
P,WASP-4 b,101016347.8,2.34846E+27,,,,,0.3417522261,,,
P,HAT-P-57 b,101016347.8,3.51239E+27,,,,,0.3635927975,,,
P,HAT-P-49 b,101016347.8,3.28442E+27,,,,,0.3599518321,,,
P,HAT-P-49 b,101016347.8,3.3605E+27,,,,,0.3611943064,,,
P,HATS-66 b,100876029.6,1.01195E+28,,,,,0.4212637432,,,
P,XO-3 b,100805870.5,1.38407E+28,,,,,0.4383855422,,,
P,WASP-63 b,100805870.5,7.02478E+26,,,,,0.2766402936,,,
P,WASP-61 b,100805870.5,5.08822E+27,,,,,0.3840851106,,,
P,WASP-19 b,100805870.5,2.16439E+27,,,,,0.3377015784,,,
P,WASP-15 b,100805870.5,1.02524E+27,,,,,0.2971553591,,,
P,WASP-101 b,100805870.5,9.43599E+26,,,,,0.2926526496,,,
P,HD 209458 b,100805870.5,1.40496E+27,,,,,0.3142526543,,,
P,HATS-51 b,100805870.5,1.45812E+27,,,,,0.3162679637,,,
P,CoRoT-36 b,100805870.5,1.29103E+27,,,,,0.3096640315,,,
P,WASP-101 b,100773980,9.49265E+26,,,,,0.2930340406,,,
P,WASP-113 b,100729333.3,9.0183E+26,,,,,0.2903314842,,,
P,WASP-15 b,100659174.2,1.12396E+27,,,,,0.3024051453,,,
P,WASP-13 b,100589015.1,9.49295E+26,,,,,0.293364064,,,
P,KOI-13 b,100518856,1.23693E+28,,,,,0.4328176814,,,
P,WASP-74 b,100372159.7,1.56823E+27,,,,,0.3209956007,,,
P,HD 209458 b,100136170,1.30995E+27,,,,,0.3116511561,,,
P,WASP-67 b,100091523.3,7.97374E+26,,,,,0.2847835559,,,
P,WASP-67 b,100091523.3,7.97408E+26,,,,,0.2847858332,,,
P,WASP-66 b,100091523.3,4.46168E+27,,,,,0.3782585126,,,
P,WASP-3 b,100091523.3,3.75921E+27,,,,,0.3689586405,,,
P,WASP-119 b,100091523.3,2.33526E+27,,,,,0.3431149141,,,
P,HATS-42 b,100091523.3,3.56935E+27,,,,,0.3661453626,,,
P,HAT-P-9 b,100091523.3,1.27205E+27,,,,,0.3101377632,,,
P,HAT-P-9 b,100091523.3,1.44483E+27,,,,,0.3170511516,,,
P,HAT-P-8 b,100091523.3,2.43019E+27,,,,,0.3452779139,,,
P,Kepler-91 b,100072389,1.25302E+27,,,,,0.3093537725,,,
P,HAT-P-9 b,100072389,1.48086E+27,,,,,0.3184226478,,,
P,KELT-10 b,100014986.1,1.28914E+27,,,,,0.3109995894,,,
P,WASP-48 b,99817265,1.7204E+27,,,,,0.327022848,,,
P,TOI-1333 b,99804508.8,4.49966E+27,,,,,0.3792453219,,,
P,WASP-19 b,99734349.7,2.11503E+27,,,,,0.3383855304,,,
P,HATS-24 b,99734349.7,4.29081E+27,,,,,0.3767939828,,,
P,HAT-P-6 b,99734349.7,2.0182E+27,,,,,0.3358411722,,,
P,WASP-118 b,99657812.5,9.87266E+26,,,,,0.2971567591,,,
P,HAT-P-9 b,99587653.4,1.42204E+27,,,,,0.317097096,,,
P,WASP-19 b,99517494.3,2.02959E+27,,,,,0.3365410939,,,
P,WASP-66 b,99377176.1,4.40473E+27,,,,,0.3788748083,,,
P,WASP-66 b,99377176.1,4.49966E+27,,,,,0.3800327461,,,
P,WASP-66 b,99377176.1,4.40454E+27,,,,,0.3788725546,,,
P,WASP-62 b,99377176.1,1.08215E+27,,,,,0.302644885,,,
P,WASP-62 b,99377176.1,1.0784E+27,,,,,0.3024564334,,,
P,HD 209458 b,99377176.1,1.38597E+27,,,,,0.3160828706,,,
P,CoRoT-11 b,99377176.1,4.72749E+27,,,,,0.382715031,,,
P,WASP-13 b,99300638.9,9.05592E+26,,,,,0.2931101406,,,
P,CoRoT-5 b,99230479.8,9.07526E+26,,,,,0.2933524013,,,
P,CoRoT-5 b,99230479.8,8.86602E+26,,,,,0.2920855754,,,
P,WASP-19 b,99090161.6,2.21746E+27,,,,,0.3421292069,,,
