name,ra,dec,core_radius (degrees),central_radius (degrees),cluster_radius (degrees),num_core_stars,num_central_stars,num_cluster_stars,distance (PC)
FSR 1485,09 22 03,-51 58.0,0.012,0.070,0.100,3,64,107,1187
Ruprecht 118,16 24 43,-51 56.4,0.020,0.075,0.140,2,19,69,974
Lynga 6,16 04 53,-51 55.5,0.018,0.065,0.125,9,56,170,1771
NGC 5800,15 01 47,-51 55.0,0.012,0.075,0.140,3,52,198,4844
Ruprecht 117,16 23 26,-51 52.8,0.018,0.052,0.080,3,8,25,937
Pismis 22,16 14 13,-51 51.9,0.015,0.060,0.130,2,17,50,2023
ESO 236-07,21 21 58,-51 51.9,0.035,0.165,0.235,3,25,50,2933
DBSB 157,16 12 20,-51 46.3,0.015,0.065,0.120,2,18,44,3917
MWSC 4429,18 35 35,-51 44.7,0.025,0.155,0.290,4,120,315,2051
NGC 3228,10 21 25,-51 43.8,0.010,0.110,0.180,1,24,53,573
ESO 229-02,17 59 40,-51 41.7,0.025,0.085,0.140,4,33,91,2362
Ruprecht 76,09 24 16,-51 39.6,0.012,0.060,0.120,4,38,136,1332
vdBergh-Hagen 88,10 06 16,-51 35.7,0.010,0.067,0.120,3,46,134,5823
FSR 1740,17 49 17,-51 32.7,0.020,0.095,0.170,8,46,144,3066
DBSB 158,16 11 11,-51 31.5,0.018,0.065,0.115,9,52,135,2434
Ruprecht 119,16 28 12,-51 30.6,0.020,0.085,0.130,3,53,107,1105
ESO 231-30,19 17 02,-51 28.8,0.018,0.115,0.165,2,35,65,3276
DBSB 144,16 12 10,-51 28.5,0.010,0.040,0.060,3,27,61,7362
FSR 1604,12 21 52,-51 28.2,0.020,0.100,0.165,3,55,137,3414
NGC 5286,13 46 27,-51 22.4,0.040,0.110,0.185,1,44,139,11711
Ruprecht 176,16 14 38,-51 20.0,0.010,0.053,0.085,2,13,30,2686
vdBergh-Hagen 67,09 26 44,-51 16.4,0.015,0.080,0.135,5,82,226,6501
Alessi 8,15 29 28,-51 15.3,0.020,0.140,0.260,3,63,200,715
MWSC 5670,07 03 25,-51 12.3,0.011,0.075,0.125,1,24,52,1682
FSR 1489,09 33 16,-51 11.7,0.015,0.060,0.115,4,36,104,1211
ESO 226-06,16 24 16,-51 09.3,0.010,0.038,0.080,4,20,73,1220
Ruprecht 106,12 38 40,-51 09.0,0.010,0.045,0.075,1,11,25,21213
NGC 2866,09 22 07,-51 06.0,0.015,0.045,0.100,5,28,92,2600
DBSB 104,17 03 59,-51 05.4,0.013,0.060,0.110,4,27,65,813
FSR 1447,08 11 33,-51 01.2,0.010,0.060,0.090,1,20,39,2549
ASCC 81,15 46 46,-50 59.7,0.025,0.100,0.160,7,108,270,850
Collinder 307,16 35 20,-50 59.4,0.016,0.070,0.115,7,84,218,2065
FSR 1446,08 10 52,-50 59.1,0.020,0.050,0.100,7,17,49,2434
Mamajek 4,18 26 08,-50 57.3,0.090,0.435,0.550,5,83,124,386
Collinder 213,09 54 43,-50 55.5,0.020,0.100,0.160,5,94,193,1464
Ruprecht 73,09 01 10,-50 55.0,0.010,0.040,0.075,3,13,43,1621
DBSB 100,16 20 26,-50 54.4,0.015,0.042,0.060,2,22,44,2240
DBSB 161,16 17 05,-50 47.5,0.010,0.043,0.070,1,27,72,6353
SAI 109,09 43 37,-50 47.0,0.010,0.065,0.090,1,27,50,5246
Lynga 12,16 46 03,-50 44.4,0.025,0.090,0.150,10,96,235,1872
DBSB 159,16 06 23,-50 43.5,0.010,0.045,0.065,1,59,111,3358
Ruprecht 87,10 15 29,-50 42.6,0.015,0.045,0.080,4,15,32,5254
DBSB 162,16 20 28,-50 41.7,0.010,0.028,0.045,3,14,43,5523
FSR 1484,09 29 47,-50 40.9,0.012,0.060,0.100,4,55,130,1847
NGC 5927,15 28 01,-50 40.4,0.045,0.110,0.200,4,50,182,7699
FSR 1673,13 50 08,-50 40.0,0.018,0.080,0.120,4,23,38,2154
NGC 5946,15 35 29,-50 39.6,0.025,0.060,0.120,1,18,54,10596
FSR 1714,15 49 26,-50 36.2,0.025,0.100,0.170,11,136,369,1608
ASCC 44,08 01 55,-50 34.8,0.015,0.157,0.240,3,57,102,553
Hogg 1,09 40 33,-50 34.8,0.010,0.055,0.095,4,18,58,1594
DBSB 99,16 13 01,-50 23.4,0.020,0.065,0.120,5,27,88,2867
NGC 2972,09 40 14,-50 19.5,0.018,0.060,0.110,3,34,93,1778
DBSB 163,16 18 43,-50 19.0,0.010,0.045,0.080,2,28,95,1258
ESO 211-09,09 16 44,-50 17.0,0.012,0.038,0.075,5,21,53,2153
FSR 1498,09 56 24,-50 16.2,0.015,0.075,0.115,4,38,64,4936
ESO 211-03,08 51 36,-50 14.7,0.010,0.075,0.155,4,55,160,4269
Lynga 8,16 20 04,-50 13.0,0.010,0.037,0.075,4,12,47,1338
vdBergh-Hagen 73,09 31 52,-50 12.9,0.018,0.060,0.105,4,55,120,2269
FSR 1715,15 48 40,-50 12.9,0.015,0.050,0.075,5,35,75,1423
DBSB 164,16 19 25,-50 09.0,0.012,0.035,0.060,3,18,36,2053
FSR 1725,16 30 25,-50 07.5,0.016,0.065,0.115,5,46,137,1623
vdBergh-Hagen 176,15 39 05,-50 03.1,0.020,0.060,0.100,1,11,33,18887
SAI 91,08 37 01,-50 02.4,0.010,0.065,0.115,1,20,55,3330
Pismis 11,09 15 53,-50 00.6,0.020,0.045,0.077,10,20,38,4767
DBSB 166,16 21 31,-50 00.6,0.016,0.035,0.050,9,20,56,5366
IC 4651,17 24 54,-49 56.1,0.020,0.160,0.240,6,183,325,888
MWSC 4545,20 07 50,-49 51.6,0.022,0.125,0.225,4,32,87,1070
DBSB 102,16 15 01,-49 51.0,0.018,0.040,0.060,7,27,44,4362
NGC 6167,16 34 41,-49 47.1,0.025,0.120,0.210,11,156,471,1216
FSR 1676,14 00 18,-49 45.9,0.012,0.095,0.145,3,54,120,4570
FSR 1727,16 29 49,-49 45.1,0.030,0.085,0.140,14,50,106,1201
FSR 1474,09 14 40,-49 44.7,0.010,0.060,0.100,2,23,44,1079
DBSB 170,16 28 59,-49 36.2,0.010,0.040,0.075,2,9,17,5163
vdBergh-Hagen 85,10 01 52,-49 35.1,0.020,0.090,0.120,2,41,62,2795
DBSB 167,16 23 26,-49 32.7,0.018,0.035,0.055,5,14,36,4076
FSR 1719,15 53 46,-49 30.6,0.010,0.060,0.110,4,43,125,1113
FSR 1732,16 55 07,-49 19.5,0.018,0.070,0.140,5,48,178,3584
vdBergh-Hagen 63,09 20 39,-49 13.0,0.015,0.060,0.105,10,26,66,4131
NGC 2547,08 09 55,-49 12.3,0.020,0.130,0.300,4,38,174,361
FSR 1695,14 33 38,-49 09.9,0.018,0.070,0.115,3,27,60,1667
NGC 6134,16 27 49,-49 09.3,0.020,0.115,0.220,7,166,433,892
Hogg 19,16 29 02,-49 05.8,0.016,0.060,0.120,6,38,162,898
DBSB 101,16 10 34,-49 00.8,0.020,0.065,0.115,3,43,130,1076
Collinder 205,09 00 32,-48 59.4,0.010,0.070,0.140,2,48,131,1458
